# Supertokens for Spanish (30976 total, sorted by frequency)

no sé qué (3 atoms, 97 occurrences)
casa está (2 atoms, 97 occurrences)
una vez más (3 atoms, 96 occurrences)
tengo nada (2 atoms, 95 occurrences)
tan pronto como (3 atoms, 95 occurrences)
la leche (2 atoms, 95 occurrences)
buen día (2 atoms, 94 occurrences)
de ahí (2 atoms, 94 occurrences)
eso es todo (3 atoms, 92 occurrences)
de nada (2 atoms, 91 occurrences)
al otro lado (3 atoms, 91 occurrences)
de todos modos (3 atoms, 90 occurrences)
debido a (2 atoms, 90 occurrences)
gracias a (2 atoms, 89 occurrences)
a partir de (3 atoms, 89 occurrences)
lo correcto (2 atoms, 89 occurrences)
entrar en (2 atoms, 89 occurrences)
nadie más (2 atoms, 89 occurrences)
de pie (2 atoms, 89 occurrences)
nunca más (2 atoms, 88 occurrences)
a propósito (2 atoms, 88 occurrences)
y todo (2 atoms, 87 occurrences)
de cosas (2 atoms, 87 occurrences)
hijo de puta (3 atoms, 86 occurrences)
ir con (2 atoms, 86 occurrences)
más allá (2 atoms, 85 occurrences)
de camino (2 atoms, 85 occurrences)
después de que (3 atoms, 85 occurrences)
al fin (2 atoms, 84 occurrences)
verdad es que (3 atoms, 84 occurrences)
o sea (2 atoms, 84 occurrences)
para nada (2 atoms, 84 occurrences)
todos nosotros (2 atoms, 84 occurrences)
después de todo (3 atoms, 83 occurrences)
mi mejor (2 atoms, 83 occurrences)
desde entonces (2 atoms, 83 occurrences)
más o menos (3 atoms, 82 occurrences)
por todas partes (3 atoms, 82 occurrences)
yo mismo (2 atoms, 82 occurrences)
y ya (2 atoms, 81 occurrences)
a Dios (2 atoms, 80 occurrences)
entre nosotros (2 atoms, 79 occurrences)
nos vamos (2 atoms, 79 occurrences)
de una vez (3 atoms, 79 occurrences)
tiene nada (2 atoms, 78 occurrences)
a matar (2 atoms, 78 occurrences)
dolor de cabeza (3 atoms, 78 occurrences)
en ello (2 atoms, 76 occurrences)
media hora (2 atoms, 76 occurrences)
qué pasa (2 atoms, 76 occurrences)
en silencio (2 atoms, 75 occurrences)
en vez de (3 atoms, 75 occurrences)
estar con (2 atoms, 75 occurrences)
no me importa (3 atoms, 75 occurrences)
de los (2 atoms, 74 occurrences)
por ejemplo (2 atoms, 74 occurrences)
gusta tu (2 atoms, 73 occurrences)
por encima (2 atoms, 73 occurrences)
una mierda (2 atoms, 73 occurrences)
hoy en día (3 atoms, 73 occurrences)
y así (2 atoms, 72 occurrences)
hasta aquí (2 atoms, 72 occurrences)
de todas formas (3 atoms, 72 occurrences)
muchas veces (2 atoms, 72 occurrences)
el otro día (3 atoms, 72 occurrences)
se supone (2 atoms, 72 occurrences)
en camino (2 atoms, 72 occurrences)
en el trabajo (3 atoms, 72 occurrences)
creer que (2 atoms, 71 occurrences)
llegar tarde (2 atoms, 71 occurrences)
en medio (2 atoms, 70 occurrences)
casi nunca (2 atoms, 70 occurrences)
sobre todo (2 atoms, 70 occurrences)
no puede ser (3 atoms, 70 occurrences)
haber hecho (2 atoms, 70 occurrences)
toda mi vida (3 atoms, 69 occurrences)
todo bien (2 atoms, 69 occurrences)
sí mismo (2 atoms, 69 occurrences)
problema es (2 atoms, 69 occurrences)
encanta el (2 atoms, 69 occurrences)
mañana por la (3 atoms, 68 occurrences)
como para (2 atoms, 68 occurrences)
en cualquier momento (3 atoms, 67 occurrences)
al mismo tiempo (3 atoms, 66 occurrences)
en lugar de (3 atoms, 66 occurrences)
encanta la (2 atoms, 65 occurrences)
en público (2 atoms, 65 occurrences)
tarde o temprano (3 atoms, 65 occurrences)
a menos que (3 atoms, 65 occurrences)
vamos a ver (3 atoms, 64 occurrences)
el uno al (3 atoms, 64 occurrences)
del tiempo (2 atoms, 63 occurrences)
en peligro (2 atoms, 63 occurrences)
ustedes dos (2 atoms, 63 occurrences)
bien con (2 atoms, 63 occurrences)
alguna parte (2 atoms, 63 occurrences)
ahora me (2 atoms, 63 occurrences)
la semana que (3 atoms, 62 occurrences)
de veras (2 atoms, 62 occurrences)
hace tiempo (2 atoms, 62 occurrences)
a la vez (3 atoms, 61 occurrences)
en vano (2 atoms, 61 occurrences)
cada vez más (3 atoms, 60 occurrences)
feliz de (2 atoms, 60 occurrences)
y siempre (2 atoms, 60 occurrences)
al lado de (3 atoms, 60 occurrences)
no entiendo (2 atoms, 59 occurrences)
por delante (2 atoms, 59 occurrences)
pero ella (2 atoms, 59 occurrences)
por Dios (2 atoms, 59 occurrences)
en absoluto (2 atoms, 58 occurrences)
de forma (2 atoms, 58 occurrences)
lo que está (3 atoms, 58 occurrences)
oído que (2 atoms, 58 occurrences)
día en (2 atoms, 58 occurrences)
de memoria (2 atoms, 58 occurrences)
habla inglés (2 atoms, 58 occurrences)
miedo a (2 atoms, 57 occurrences)
dar un paseo (3 atoms, 57 occurrences)
sin duda (2 atoms, 57 occurrences)
poco a poco (3 atoms, 57 occurrences)
en marcha (2 atoms, 56 occurrences)
por casualidad (2 atoms, 56 occurrences)
hablar inglés (2 atoms, 56 occurrences)
no es nada (3 atoms, 56 occurrences)
casa en (2 atoms, 56 occurrences)
en persona (2 atoms, 55 occurrences)
como sea (2 atoms, 55 occurrences)
a lo mejor (3 atoms, 55 occurrences)
tenía la (2 atoms, 55 occurrences)
al frente (2 atoms, 55 occurrences)
maldita sea (2 atoms, 55 occurrences)
por si (2 atoms, 54 occurrences)
lo último (2 atoms, 54 occurrences)
favor de (2 atoms, 53 occurrences)
frente a (2 atoms, 53 occurrences)
para empezar (2 atoms, 53 occurrences)
varias veces (2 atoms, 53 occurrences)
hay nadie (2 atoms, 52 occurrences)
en orden (2 atoms, 52 occurrences)
punto de vista (3 atoms, 52 occurrences)
buenas tardes (2 atoms, 52 occurrences)
tal como (2 atoms, 51 occurrences)
en contra de (3 atoms, 51 occurrences)
a causa de (3 atoms, 51 occurrences)
de moda (2 atoms, 51 occurrences)
en verdad (2 atoms, 51 occurrences)
número de teléfono (3 atoms, 51 occurrences)
encima de (2 atoms, 51 occurrences)
todos ellos (2 atoms, 51 occurrences)
sentó en (2 atoms, 50 occurrences)
que ir a la (4 atoms, 50 occurrences)
además de (2 atoms, 50 occurrences)
de emergencia (2 atoms, 50 occurrences)
hace años (2 atoms, 50 occurrences)
qué bueno (2 atoms, 49 occurrences)
padre no (2 atoms, 49 occurrences)
buenas noticias (2 atoms, 49 occurrences)
que hablar con (3 atoms, 49 occurrences)
ser humano (2 atoms, 49 occurrences)
todos ustedes (2 atoms, 49 occurrences)
que aprender (2 atoms, 49 occurrences)
tener cuidado (2 atoms, 49 occurrences)
de color (2 atoms, 48 occurrences)
a pie (2 atoms, 48 occurrences)
decir la verdad (3 atoms, 48 occurrences)
negó a (2 atoms, 48 occurrences)
por allí (2 atoms, 48 occurrences)
