# Supertokens for Portuguese (19797 total, sorted by frequency)

pare de (2 atoms, 181 occurrences)
o trabalho (2 atoms, 181 occurrences)
preciso de (2 atoms, 181 occurrences)
de vez em quando (4 atoms, 179 occurrences)
com quem (2 atoms, 179 occurrences)
temos que (2 atoms, 178 occurrences)
ontem à noite (3 atoms, 178 occurrences)
você ainda (2 atoms, 177 occurrences)
eu amo (2 atoms, 176 occurrences)
a cidade (2 atoms, 175 occurrences)
uma coisa (2 atoms, 175 occurrences)
para ela (2 atoms, 174 occurrences)
na escola (2 atoms, 172 occurrences)
o menino (2 atoms, 172 occurrences)
o tempo (2 atoms, 171 occurrences)
a gente (2 atoms, 171 occurrences)
nunca mais (2 atoms, 171 occurrences)
o que aconteceu (3 atoms, 170 occurrences)
fez isso (2 atoms, 170 occurrences)
deixe-me (3 atoms, 170 occurrences)
quero que (2 atoms, 168 occurrences)
assim que (2 atoms, 168 occurrences)
depois de (2 atoms, 167 occurrences)
este é (2 atoms, 167 occurrences)
esta noite (2 atoms, 167 occurrences)
vocês já (2 atoms, 166 occurrences)
o gato (2 atoms, 166 occurrences)
eu só (2 atoms, 166 occurrences)
obrigado por (2 atoms, 166 occurrences)
sabia que (2 atoms, 164 occurrences)
precisa de (2 atoms, 163 occurrences)
está bem (2 atoms, 161 occurrences)
está fazendo (2 atoms, 160 occurrences)
a água (2 atoms, 159 occurrences)
seu pai (2 atoms, 159 occurrences)
um grande (2 atoms, 158 occurrences)
vocês estão (2 atoms, 158 occurrences)
não está (2 atoms, 157 occurrences)
esta é (2 atoms, 157 occurrences)
quanto tempo (2 atoms, 157 occurrences)
com uma (2 atoms, 156 occurrences)
que você (2 atoms, 156 occurrences)
no meu (2 atoms, 155 occurrences)
eles estão (2 atoms, 155 occurrences)
o nosso (2 atoms, 155 occurrences)
deve ser (2 atoms, 154 occurrences)
os senhores (2 atoms, 154 occurrences)
se eu (2 atoms, 154 occurrences)
eu já (2 atoms, 153 occurrences)
o trem (2 atoms, 152 occurrences)
tudo que (2 atoms, 152 occurrences)
que não (2 atoms, 152 occurrences)
um livro (2 atoms, 152 occurrences)
é bom (2 atoms, 152 occurrences)
está muito (2 atoms, 151 occurrences)
as senhoras (2 atoms, 151 occurrences)
sobre a (2 atoms, 150 occurrences)
tem que (2 atoms, 150 occurrences)
é difícil (2 atoms, 149 occurrences)
qual é (2 atoms, 148 occurrences)
é melhor (2 atoms, 148 occurrences)
meu amigo (2 atoms, 148 occurrences)
sei que (2 atoms, 148 occurrences)
ela não (2 atoms, 147 occurrences)
você se (2 atoms, 147 occurrences)
o ônibus (2 atoms, 146 occurrences)
sabe que (2 atoms, 145 occurrences)
ela estava (2 atoms, 145 occurrences)
não tenho (2 atoms, 144 occurrences)
está em (2 atoms, 144 occurrences)
uma vez (2 atoms, 143 occurrences)
diz que (2 atoms, 142 occurrences)
queria que (2 atoms, 142 occurrences)
por que o (3 atoms, 142 occurrences)
por isso (2 atoms, 141 occurrences)
uma boa (2 atoms, 141 occurrences)
meu filho (2 atoms, 140 occurrences)
são muito (2 atoms, 140 occurrences)
o tempo todo (3 atoms, 140 occurrences)
minha irmã (2 atoms, 140 occurrences)
o teu (2 atoms, 139 occurrences)
que ela (2 atoms, 139 occurrences)
você consegue (2 atoms, 139 occurrences)
você tem que (3 atoms, 138 occurrences)
você fala (2 atoms, 138 occurrences)
eu odeio (2 atoms, 137 occurrences)
é que (2 atoms, 137 occurrences)
você gosta (2 atoms, 137 occurrences)
ela me (2 atoms, 137 occurrences)
a fazer (2 atoms, 137 occurrences)
em inglês (2 atoms, 136 occurrences)
um carro (2 atoms, 136 occurrences)
a história (2 atoms, 136 occurrences)
um cachorro (2 atoms, 135 occurrences)
o professor (2 atoms, 135 occurrences)
vocês têm (2 atoms, 135 occurrences)
pelo menos (2 atoms, 135 occurrences)
lá fora (2 atoms, 135 occurrences)
eu fiz (2 atoms, 135 occurrences)
o que o (3 atoms, 134 occurrences)
isso foi (2 atoms, 134 occurrences)
se ele (2 atoms, 134 occurrences)
como um (2 atoms, 134 occurrences)
o problema (2 atoms, 134 occurrences)
não pode (2 atoms, 133 occurrences)
pensei que (2 atoms, 133 occurrences)
é bem (2 atoms, 133 occurrences)
você gosta de (3 atoms, 133 occurrences)
o médico (2 atoms, 132 occurrences)
ela se (2 atoms, 132 occurrences)
eu fui (2 atoms, 132 occurrences)
tudo bem (2 atoms, 131 occurrences)
vocês são (2 atoms, 131 occurrences)
ele foi (2 atoms, 131 occurrences)
a luz (2 atoms, 130 occurrences)
eu sempre (2 atoms, 129 occurrences)
eu comprei (2 atoms, 128 occurrences)
um novo (2 atoms, 128 occurrences)
onde está (2 atoms, 128 occurrences)
eu sabia que (3 atoms, 128 occurrences)
eu acho que o (4 atoms, 127 occurrences)
não são (2 atoms, 127 occurrences)
eu poderia (2 atoms, 127 occurrences)
de sua (2 atoms, 126 occurrences)
ainda não (2 atoms, 126 occurrences)
no chão (2 atoms, 125 occurrences)
o dia todo (3 atoms, 125 occurrences)
todo o (2 atoms, 124 occurrences)
sua casa (2 atoms, 124 occurrences)
eu também (2 atoms, 124 occurrences)
foi o (2 atoms, 124 occurrences)
foi uma (2 atoms, 123 occurrences)
vai ser (2 atoms, 123 occurrences)
mais de (2 atoms, 123 occurrences)
a cabeça (2 atoms, 123 occurrences)
a tua (2 atoms, 123 occurrences)
foi um (2 atoms, 123 occurrences)
fazer aquilo (2 atoms, 122 occurrences)
mais do que (3 atoms, 122 occurrences)
muitas pessoas (2 atoms, 122 occurrences)
algumas pessoas (2 atoms, 122 occurrences)
era um (2 atoms, 122 occurrences)
minha casa (2 atoms, 122 occurrences)
no seu (2 atoms, 121 occurrences)
a mãe (2 atoms, 121 occurrences)
para fazer (2 atoms, 121 occurrences)
me disse que (3 atoms, 121 occurrences)
a mulher (2 atoms, 121 occurrences)
uma grande (2 atoms, 121 occurrences)
no parque (2 atoms, 121 occurrences)
de manhã (2 atoms, 120 occurrences)
estava muito (2 atoms, 120 occurrences)
até o (2 atoms, 120 occurrences)
não posso (2 atoms, 120 occurrences)
você realmente (2 atoms, 120 occurrences)
que eu (2 atoms, 120 occurrences)
o sol (2 atoms, 119 occurrences)
muito dinheiro (2 atoms, 119 occurrences)
com os (2 atoms, 119 occurrences)
eu preciso de (3 atoms, 119 occurrences)
está aqui (2 atoms, 119 occurrences)
eles são (2 atoms, 119 occurrences)
que tipo de (3 atoms, 118 occurrences)
de ser (2 atoms, 117 occurrences)
o quê (2 atoms, 117 occurrences)
acho que o (3 atoms, 117 occurrences)
toda a (2 atoms, 117 occurrences)
em seu (2 atoms, 116 occurrences)
em mim (2 atoms, 116 occurrences)
não foi (2 atoms, 116 occurrences)
tenho de (2 atoms, 116 occurrences)
o amor (2 atoms, 115 occurrences)
eu ainda (2 atoms, 115 occurrences)
como posso (2 atoms, 115 occurrences)
o que é (3 atoms, 114 occurrences)
este é o (3 atoms, 114 occurrences)
à noite (2 atoms, 114 occurrences)
eu tinha (2 atoms, 114 occurrences)
dizem que (2 atoms, 114 occurrences)
está tentando (2 atoms, 114 occurrences)
gostam de (2 atoms, 114 occurrences)
eu deveria (2 atoms, 114 occurrences)
um gato (2 atoms, 114 occurrences)
parece estar (2 atoms, 113 occurrences)
falar com (2 atoms, 113 occurrences)
seu nome (2 atoms, 113 occurrences)
me deu (2 atoms, 113 occurrences)
está no (2 atoms, 113 occurrences)
ele quer (2 atoms, 112 occurrences)
qualquer coisa (2 atoms, 112 occurrences)
de ônibus (2 atoms, 112 occurrences)
acabou de (2 atoms, 112 occurrences)
quando eu (2 atoms, 112 occurrences)
a que horas (3 atoms, 111 occurrences)
uma pessoa (2 atoms, 111 occurrences)
eu era (2 atoms, 111 occurrences)
de repente (2 atoms, 111 occurrences)
eu conheço (2 atoms, 111 occurrences)
uma casa (2 atoms, 111 occurrences)
demais para (2 atoms, 110 occurrences)
a guerra (2 atoms, 110 occurrences)
de verdade (2 atoms, 110 occurrences)
muito bom (2 atoms, 110 occurrences)
a menina (2 atoms, 110 occurrences)
a ela (2 atoms, 110 occurrences)
qual é a (3 atoms, 110 occurrences)
você parece (2 atoms, 110 occurrences)
de onde (2 atoms, 110 occurrences)
é só (2 atoms, 109 occurrences)
precisamos de (2 atoms, 109 occurrences)
por que você está (4 atoms, 109 occurrences)
ir para (2 atoms, 108 occurrences)
no carro (2 atoms, 108 occurrences)
na minha (2 atoms, 108 occurrences)
todo dia (2 atoms, 108 occurrences)
do meu (2 atoms, 107 occurrences)
por um (2 atoms, 107 occurrences)
eu fui (2 atoms, 107 occurrences)
da sua (2 atoms, 107 occurrences)
em breve (2 atoms, 106 occurrences)
há uma (2 atoms, 106 occurrences)
fazê-lo (3 atoms, 106 occurrences)
seu irmão (2 atoms, 106 occurrences)
a chave (2 atoms, 106 occurrences)
os olhos (2 atoms, 106 occurrences)
a morte (2 atoms, 106 occurrences)
há um (2 atoms, 106 occurrences)
achei que (2 atoms, 105 occurrences)
de casa (2 atoms, 105 occurrences)
hoje à noite (3 atoms, 105 occurrences)
por que não (3 atoms, 105 occurrences)
uma nova (2 atoms, 105 occurrences)
da minha (2 atoms, 105 occurrences)
eu a (2 atoms, 105 occurrences)
você viu (2 atoms, 104 occurrences)
eles não (2 atoms, 104 occurrences)
por aqui (2 atoms, 103 occurrences)
para onde (2 atoms, 103 occurrences)
os seus (2 atoms, 103 occurrences)
você conhece (2 atoms, 103 occurrences)
a nossa (2 atoms, 103 occurrences)
ele fez (2 atoms, 103 occurrences)
da cidade (2 atoms, 102 occurrences)
disse a (2 atoms, 102 occurrences)
vocês querem (2 atoms, 102 occurrences)
nós precisamos (2 atoms, 102 occurrences)
era muito (2 atoms, 102 occurrences)
para nós (2 atoms, 102 occurrences)
um amigo (2 atoms, 101 occurrences)
está sempre (2 atoms, 101 occurrences)
do seu (2 atoms, 101 occurrences)
sua família (2 atoms, 101 occurrences)
você fez (2 atoms, 101 occurrences)
eu acho (2 atoms, 101 occurrences)
minha vida (2 atoms, 101 occurrences)
uma mulher (2 atoms, 101 occurrences)
não sei (2 atoms, 101 occurrences)
a carta (2 atoms, 101 occurrences)
faz isso (2 atoms, 100 occurrences)
o que ele (3 atoms, 100 occurrences)
para fazer isso (3 atoms, 100 occurrences)
temos de (2 atoms, 100 occurrences)
eu sei que o (4 atoms, 100 occurrences)
o cabelo (2 atoms, 100 occurrences)
seus filhos (2 atoms, 99 occurrences)
ele ficou (2 atoms, 99 occurrences)
a resposta (2 atoms, 99 occurrences)
as mãos (2 atoms, 99 occurrences)
ir embora (2 atoms, 99 occurrences)
eu fiquei (2 atoms, 99 occurrences)
eles estavam (2 atoms, 99 occurrences)
a garota (2 atoms, 98 occurrences)
seu carro (2 atoms, 98 occurrences)
seus pais (2 atoms, 98 occurrences)
no ano passado (3 atoms, 98 occurrences)
quando ele (2 atoms, 98 occurrences)
quando você (2 atoms, 98 occurrences)
meu cachorro (2 atoms, 98 occurrences)
ele era (2 atoms, 97 occurrences)
você estava (2 atoms, 97 occurrences)
a música (2 atoms, 97 occurrences)
não tinha (2 atoms, 97 occurrences)
o pai (2 atoms, 97 occurrences)
na mesa (2 atoms, 97 occurrences)
se não (2 atoms, 97 occurrences)
seu filho (2 atoms, 96 occurrences)
meu carro (2 atoms, 96 occurrences)
pensou que (2 atoms, 96 occurrences)
o telefone (2 atoms, 96 occurrences)
mais que (2 atoms, 96 occurrences)
está com (2 atoms, 96 occurrences)
o garoto (2 atoms, 95 occurrences)
eles se (2 atoms, 95 occurrences)
antes que (2 atoms, 95 occurrences)
há muitos (2 atoms, 95 occurrences)
o bebê (2 atoms, 95 occurrences)
em sua (2 atoms, 95 occurrences)
para os (2 atoms, 95 occurrences)
a fazer isso (3 atoms, 95 occurrences)
uma criança (2 atoms, 94 occurrences)
muito tempo (2 atoms, 94 occurrences)
nos ajudar (2 atoms, 94 occurrences)
de fazer (2 atoms, 94 occurrences)
ficar aqui (2 atoms, 94 occurrences)
as minhas (2 atoms, 94 occurrences)
na sua (2 atoms, 94 occurrences)
foi muito (2 atoms, 94 occurrences)
te ver (2 atoms, 94 occurrences)
eu ouvi (2 atoms, 94 occurrences)
nós não (2 atoms, 93 occurrences)
e se (2 atoms, 93 occurrences)
meus pais (2 atoms, 93 occurrences)
a mesma (2 atoms, 93 occurrences)
o que fazer (3 atoms, 93 occurrences)
por mim (2 atoms, 93 occurrences)
em paz (2 atoms, 93 occurrences)
nós estamos (2 atoms, 93 occurrences)
eu disse (2 atoms, 93 occurrences)
mais tarde (2 atoms, 92 occurrences)
não vai (2 atoms, 92 occurrences)
eu tentei (2 atoms, 92 occurrences)
nós somos (2 atoms, 92 occurrences)
foi para (2 atoms, 92 occurrences)
ir lá (2 atoms, 92 occurrences)
de fazer isso (3 atoms, 92 occurrences)
sua vida (2 atoms, 92 occurrences)
é um bom (3 atoms, 92 occurrences)
o jogo (2 atoms, 92 occurrences)
com eles (2 atoms, 91 occurrences)
na cama (2 atoms, 91 occurrences)
parece ser (2 atoms, 91 occurrences)
o dia (2 atoms, 91 occurrences)
eu não tenho (3 atoms, 91 occurrences)
esse livro (2 atoms, 91 occurrences)
te ajudar (2 atoms, 91 occurrences)
as suas (2 atoms, 91 occurrences)
está me (2 atoms, 91 occurrences)
a situação (2 atoms, 91 occurrences)
não havia (2 atoms, 90 occurrences)
estudar francês (2 atoms, 90 occurrences)
a reunião (2 atoms, 90 occurrences)
um trabalho (2 atoms, 90 occurrences)
as mulheres (2 atoms, 90 occurrences)
é grande (2 atoms, 90 occurrences)
o jantar (2 atoms, 89 occurrences)
vocês dois (2 atoms, 89 occurrences)
esta tarde (2 atoms, 89 occurrences)
com vocês (2 atoms, 89 occurrences)
no hospital (2 atoms, 89 occurrences)
ele vai (2 atoms, 89 occurrences)
está se (2 atoms, 89 occurrences)
ele nunca (2 atoms, 89 occurrences)
era o (2 atoms, 89 occurrences)
os dois (2 atoms, 88 occurrences)
o bolo (2 atoms, 88 occurrences)
diga-me (3 atoms, 88 occurrences)
comprou um (2 atoms, 88 occurrences)
o avião (2 atoms, 88 occurrences)
eu realmente (2 atoms, 88 occurrences)
faça isso (2 atoms, 88 occurrences)
está comendo (2 atoms, 87 occurrences)
um pouco de (3 atoms, 87 occurrences)
nunca me (2 atoms, 87 occurrences)
que isso (2 atoms, 87 occurrences)
o meu pai (3 atoms, 87 occurrences)
perto de (2 atoms, 87 occurrences)
esta é a (3 atoms, 87 occurrences)
ele é um (3 atoms, 87 occurrences)
uma semana (2 atoms, 87 occurrences)
não consigo (2 atoms, 87 occurrences)
é verdade (2 atoms, 87 occurrences)
de quem (2 atoms, 87 occurrences)
parecia estar (2 atoms, 86 occurrences)
você gostaria de (3 atoms, 86 occurrences)
eu prefiro (2 atoms, 86 occurrences)
o suficiente (2 atoms, 86 occurrences)
não era (2 atoms, 86 occurrences)
o céu (2 atoms, 86 occurrences)
muito feliz (2 atoms, 86 occurrences)
onde estão (2 atoms, 86 occurrences)
você também (2 atoms, 85 occurrences)
tenho uma (2 atoms, 85 occurrences)
eu falo (2 atoms, 85 occurrences)
nós podemos (2 atoms, 85 occurrences)
na semana passada (3 atoms, 85 occurrences)
muitas coisas (2 atoms, 85 occurrences)
está esperando (2 atoms, 85 occurrences)
a língua (2 atoms, 85 occurrences)
as regras (2 atoms, 85 occurrences)
era uma (2 atoms, 85 occurrences)
os homens (2 atoms, 85 occurrences)
como uma (2 atoms, 85 occurrences)
no mundo (2 atoms, 85 occurrences)
um médico (2 atoms, 84 occurrences)
eu pensei que (3 atoms, 84 occurrences)
minha família (2 atoms, 84 occurrences)
minha filha (2 atoms, 84 occurrences)
vai ficar (2 atoms, 84 occurrences)
o melhor (2 atoms, 84 occurrences)
dê-me (3 atoms, 84 occurrences)
não sou (2 atoms, 83 occurrences)
podem ser (2 atoms, 83 occurrences)
a criança (2 atoms, 83 occurrences)
eu trabalho (2 atoms, 83 occurrences)
a todos (2 atoms, 83 occurrences)
não o (2 atoms, 83 occurrences)
está com (2 atoms, 83 occurrences)
de tudo (2 atoms, 83 occurrences)
nós nos (2 atoms, 83 occurrences)
acabei de (2 atoms, 82 occurrences)
nós queremos (2 atoms, 82 occurrences)
parou de (2 atoms, 82 occurrences)
em que (2 atoms, 82 occurrences)
da escola (2 atoms, 82 occurrences)
uma hora (2 atoms, 82 occurrences)
desde que (2 atoms, 82 occurrences)
não, não (3 atoms, 82 occurrences)
tudo isso (2 atoms, 82 occurrences)
se quiser (2 atoms, 82 occurrences)
de carro (2 atoms, 82 occurrences)
é fácil (2 atoms, 81 occurrences)
nós estávamos (2 atoms, 81 occurrences)
essa é (2 atoms, 81 occurrences)
todos nós (2 atoms, 81 occurrences)
o caminho (2 atoms, 81 occurrences)
uma vida (2 atoms, 81 occurrences)
ele veio (2 atoms, 81 occurrences)
na estação (2 atoms, 80 occurrences)
a janela (2 atoms, 80 occurrences)
falar francês (2 atoms, 80 occurrences)
ver o (2 atoms, 80 occurrences)
meus amigos (2 atoms, 80 occurrences)
sua irmã (2 atoms, 80 occurrences)
o rei (2 atoms, 80 occurrences)
muitas vezes (2 atoms, 79 occurrences)
como é (2 atoms, 79 occurrences)
vocês podem (2 atoms, 79 occurrences)
três anos (2 atoms, 79 occurrences)
é importante (2 atoms, 79 occurrences)
com medo (2 atoms, 79 occurrences)
no mesmo (2 atoms, 79 occurrences)
com a gente (3 atoms, 79 occurrences)
um emprego (2 atoms, 79 occurrences)
como foi (2 atoms, 79 occurrences)
por quê (2 atoms, 79 occurrences)
ela quer (2 atoms, 79 occurrences)
qual é o (3 atoms, 78 occurrences)
ele gosta de (3 atoms, 78 occurrences)
isto é um (3 atoms, 78 occurrences)
é preciso (2 atoms, 78 occurrences)
precisa ser (2 atoms, 78 occurrences)
o preço (2 atoms, 78 occurrences)
a escola (2 atoms, 78 occurrences)
no jardim (2 atoms, 78 occurrences)
mas ele (2 atoms, 78 occurrences)
no que (2 atoms, 78 occurrences)
o fogo (2 atoms, 78 occurrences)
é possível (2 atoms, 78 occurrences)
disseram que (2 atoms, 77 occurrences)
no quarto (2 atoms, 77 occurrences)
na biblioteca (2 atoms, 77 occurrences)
está ficando (2 atoms, 77 occurrences)
com fome (2 atoms, 77 occurrences)
algo que (2 atoms, 77 occurrences)
eu gostaria de (3 atoms, 77 occurrences)
estou com (2 atoms, 77 occurrences)
um dos (2 atoms, 77 occurrences)
para ver (2 atoms, 77 occurrences)
a festa (2 atoms, 77 occurrences)
me diga (2 atoms, 77 occurrences)
três horas (2 atoms, 77 occurrences)
a mão (2 atoms, 76 occurrences)
há muito tempo (3 atoms, 76 occurrences)
me contou (2 atoms, 76 occurrences)
vai se (2 atoms, 76 occurrences)
a loja (2 atoms, 76 occurrences)
quanto mais (2 atoms, 76 occurrences)
na praia (2 atoms, 76 occurrences)
meu nome (2 atoms, 76 occurrences)
eu pedi (2 atoms, 76 occurrences)
um presente (2 atoms, 76 occurrences)
até a (2 atoms, 76 occurrences)
uma história (2 atoms, 76 occurrences)
deve estar (2 atoms, 76 occurrences)
disse isso (2 atoms, 76 occurrences)
a gente (2 atoms, 76 occurrences)
ir a (2 atoms, 75 occurrences)
mas eu (2 atoms, 75 occurrences)
não quero (2 atoms, 75 occurrences)
ajudá-lo (3 atoms, 75 occurrences)
seu trabalho (2 atoms, 75 occurrences)
todo o mundo (3 atoms, 75 occurrences)
os outros (2 atoms, 75 occurrences)
não temos (2 atoms, 75 occurrences)
fala francês (2 atoms, 75 occurrences)
o mesmo (2 atoms, 75 occurrences)
ir à (2 atoms, 75 occurrences)
sinto muito (2 atoms, 74 occurrences)
voltar para (2 atoms, 74 occurrences)
achou que (2 atoms, 74 occurrences)
tempo para (2 atoms, 74 occurrences)
me ajudar (2 atoms, 74 occurrences)
eu espero que (3 atoms, 74 occurrences)
muito rápido (2 atoms, 74 occurrences)
para ser (2 atoms, 74 occurrences)
eu devo (2 atoms, 74 occurrences)
o que eu (3 atoms, 74 occurrences)
você acha que o (4 atoms, 74 occurrences)
não estou (2 atoms, 74 occurrences)
há muitas (2 atoms, 74 occurrences)
dizer que (2 atoms, 74 occurrences)
se ela (2 atoms, 74 occurrences)
me deixou (2 atoms, 74 occurrences)
seu cachorro (2 atoms, 74 occurrences)
quanto você (2 atoms, 74 occurrences)
está indo (2 atoms, 74 occurrences)
a comida (2 atoms, 74 occurrences)
tenho um (2 atoms, 73 occurrences)
vai para (2 atoms, 73 occurrences)
meu avô (2 atoms, 73 occurrences)
me fez (2 atoms, 73 occurrences)
vocês sabem (2 atoms, 73 occurrences)
me ver (2 atoms, 73 occurrences)
que é (2 atoms, 73 occurrences)
algo para (2 atoms, 73 occurrences)
alguém que (2 atoms, 73 occurrences)
a eles (2 atoms, 73 occurrences)
quer que (2 atoms, 73 occurrences)
eu moro (2 atoms, 73 occurrences)
ele disse que (3 atoms, 73 occurrences)
a noite toda (3 atoms, 72 occurrences)
e agora (2 atoms, 72 occurrences)
é realmente (2 atoms, 72 occurrences)
não podemos (2 atoms, 72 occurrences)
perdeu a (2 atoms, 72 occurrences)
quer ir (2 atoms, 72 occurrences)
quem você (2 atoms, 72 occurrences)
fazer isto (2 atoms, 71 occurrences)
nós vamos (2 atoms, 71 occurrences)
tem três (2 atoms, 71 occurrences)
para a escola (3 atoms, 71 occurrences)
uma maçã (2 atoms, 71 occurrences)
você é um (3 atoms, 71 occurrences)
