# Supertokens for Korean (4299 total, sorted by frequency)

무슨 일인데 (2 atoms, 6 occurrences)
잘 지냈나 (2 atoms, 6 occurrences)
막을 수 (2 atoms, 6 occurrences)
뭐 할 (2 atoms, 6 occurrences)
어떻게 생각해 (2 atoms, 6 occurrences)
이 멍청한 (2 atoms, 6 occurrences)
너희 둘 (2 atoms, 6 occurrences)
가,가,가 (7 atoms, 6 occurrences)
뭐 했어 (2 atoms, 6 occurrences)
모두 다 (2 atoms, 6 occurrences)
뭘 어쨌다고 (2 atoms, 6 occurrences)
어디를 가는 (2 atoms, 6 occurrences)
지금 어디 (2 atoms, 6 occurrences)
좋은 하루 (2 atoms, 6 occurrences)
수영을 잘 (2 atoms, 6 occurrences)
안나 (3 atoms, 6 occurrences)
사는 건 (2 atoms, 6 occurrences)
있어야 해 (2 atoms, 6 occurrences)
마실 거 (2 atoms, 6 occurrences)
해본 적 (2 atoms, 6 occurrences)
거 맞아 (2 atoms, 6 occurrences)
도울 수 (2 atoms, 6 occurrences)
읽을 수 (2 atoms, 6 occurrences)
이거 봐 (2 atoms, 6 occurrences)
제일 좋아하는 (2 atoms, 6 occurrences)
할 수 있습니다 (3 atoms, 6 occurrences)
수 없었다 (2 atoms, 6 occurrences)
얼마나 많이 (2 atoms, 6 occurrences)
어서 말해 (2 atoms, 6 occurrences)
더 좋은 (2 atoms, 6 occurrences)
내 인생 (2 atoms, 6 occurrences)
절대 못 (2 atoms, 6 occurrences)
여기 앉아 (2 atoms, 6 occurrences)
세 번 (2 atoms, 6 occurrences)
뭘 더 (2 atoms, 6 occurrences)
해낼 수 (2 atoms, 6 occurrences)
넌 날 (2 atoms, 6 occurrences)
그 사람들이 (2 atoms, 6 occurrences)
신경 안 (2 atoms, 6 occurrences)
오늘 얘 (2 atoms, 6 occurrences)
빨리와 (3 atoms, 6 occurrences)
본 거야 (2 atoms, 6 occurrences)
보는 거야 (2 atoms, 6 occurrences)
간 거야 (2 atoms, 6 occurrences)
좀 어때 (2 atoms, 6 occurrences)
그런데 왜 (2 atoms, 6 occurrences)
왜 못 (2 atoms, 6 occurrences)
무슨 생각 (2 atoms, 6 occurrences)
이름이 뭐죠 (2 atoms, 6 occurrences)
어떻게 지내 (2 atoms, 6 occurrences)
짓 하지 (2 atoms, 6 occurrences)
뭔지 알아 (2 atoms, 6 occurrences)
그 애 (2 atoms, 6 occurrences)
어떻게 하는지 (2 atoms, 6 occurrences)
해도 될까요 (2 atoms, 6 occurrences)
말하는 거야 (2 atoms, 6 occurrences)
해 줄까 (2 atoms, 6 occurrences)
되고 싶어 (2 atoms, 6 occurrences)
가도 돼요 (2 atoms, 6 occurrences)
넌 할 (2 atoms, 6 occurrences)
필요한 건 (2 atoms, 6 occurrences)
그것 때문에 (2 atoms, 6 occurrences)
뭐 해 (2 atoms, 6 occurrences)
오는 거야 (2 atoms, 6 occurrences)
수 있습니까 (2 atoms, 6 occurrences)
어떻게 되죠 (2 atoms, 5 occurrences)
뭐 하는 거야 (3 atoms, 5 occurrences)
누가 그런 (2 atoms, 5 occurrences)
없는 거야 (2 atoms, 5 occurrences)
아무도 없어 (2 atoms, 5 occurrences)
것을 보았다 (2 atoms, 5 occurrences)
것 같아요 (2 atoms, 5 occurrences)
얼마 안 (2 atoms, 5 occurrences)
얼굴이 왜 (2 atoms, 5 occurrences)
내 얘기 (2 atoms, 5 occurrences)
기억하고 있어 (2 atoms, 5 occurrences)
아,이 (4 atoms, 5 occurrences)
물어봐도 돼요 (2 atoms, 5 occurrences)
누가 그 (2 atoms, 5 occurrences)
누가 날 (2 atoms, 5 occurrences)
위해 건배 (2 atoms, 5 occurrences)
세 명 (2 atoms, 5 occurrences)
거기 있어 (2 atoms, 5 occurrences)
어디서 났어 (2 atoms, 5 occurrences)
너 왜 (2 atoms, 5 occurrences)
것을 좋아한다 (2 atoms, 5 occurrences)
무슨 뜻이죠 (2 atoms, 5 occurrences)
집에 안 (2 atoms, 5 occurrences)
왜 우릴 (2 atoms, 5 occurrences)
이렇게 많이 (2 atoms, 5 occurrences)
괜찮을 거야 (2 atoms, 5 occurrences)
다 됐어 (2 atoms, 5 occurrences)
찾는 거야 (2 atoms, 5 occurrences)
왜 이러세요 (2 atoms, 5 occurrences)
좀 줄래요 (2 atoms, 5 occurrences)
수 없었어 (2 atoms, 5 occurrences)
안 한다고 (2 atoms, 5 occurrences)
엄마는 (2 atoms, 5 occurrences)
그렇게 빨리 (2 atoms, 5 occurrences)
프랑스어를 할 (2 atoms, 5 occurrences)
우리 아들 (2 atoms, 5 occurrences)
줄 수 (2 atoms, 5 occurrences)
수영할 수 (2 atoms, 5 occurrences)
할 것 같아 (3 atoms, 5 occurrences)
어쩐 일이야 (2 atoms, 5 occurrences)
몇 개의 (2 atoms, 5 occurrences)
조금 더 (2 atoms, 5 occurrences)
왜 그를 (2 atoms, 5 occurrences)
지금 뭐 (2 atoms, 5 occurrences)
말이 맞아 (2 atoms, 5 occurrences)
할 수 있다 (3 atoms, 5 occurrences)
한 시간 (2 atoms, 5 occurrences)
일 있었어 (2 atoms, 5 occurrences)
불러 주세요 (2 atoms, 5 occurrences)
어떻게 되세요 (2 atoms, 5 occurrences)
오신 것을 환영합니다 (3 atoms, 5 occurrences)
문제가 (2 atoms, 5 occurrences)
두 분 (2 atoms, 5 occurrences)
어떤 점이 (2 atoms, 5 occurrences)
잡고 있어 (2 atoms, 5 occurrences)
내 말 안 들려 (4 atoms, 5 occurrences)
다친 데 (2 atoms, 5 occurrences)
자, 어서 (3 atoms, 5 occurrences)
우리 엄마는 (2 atoms, 5 occurrences)
이게 어떻게 (2 atoms, 5 occurrences)
법을 배웠어 (2 atoms, 5 occurrences)
어디 있는지 (2 atoms, 5 occurrences)
손대지 마 (2 atoms, 5 occurrences)
그래서 어떻게 (2 atoms, 5 occurrences)
꾸물대지 말고 (2 atoms, 5 occurrences)
필요가 있어 (2 atoms, 5 occurrences)
뭘 알아 (2 atoms, 5 occurrences)
말도 안 돼 (4 atoms, 5 occurrences)
어떤 걸 (2 atoms, 5 occurrences)
기다리고 있어 (2 atoms, 5 occurrences)
그냥 좀 (2 atoms, 5 occurrences)
걸 알고 있었어 (3 atoms, 5 occurrences)
하지만 나는 (2 atoms, 5 occurrences)
지금 집에 (2 atoms, 5 occurrences)
몇 점 (2 atoms, 5 occurrences)
시키는 대로 (2 atoms, 5 occurrences)
대체 무슨 일이야 (3 atoms, 5 occurrences)
저 새끼 (2 atoms, 5 occurrences)
어떻게 하죠 (2 atoms, 5 occurrences)
내 아들이 (2 atoms, 5 occurrences)
무슨 얘기를 (2 atoms, 5 occurrences)
내 자신이 싫어 (3 atoms, 5 occurrences)
너희 둘은 (2 atoms, 5 occurrences)
있나 (2 atoms, 5 occurrences)
제가 아는 (2 atoms, 5 occurrences)
입 닥쳐 (2 atoms, 5 occurrences)
더 있어 (2 atoms, 5 occurrences)
왜 우리가 (2 atoms, 5 occurrences)
안 된다는 (2 atoms, 5 occurrences)
네가 왜 (2 atoms, 5 occurrences)
시달리고 있어 (2 atoms, 5 occurrences)
내가 하는 (2 atoms, 5 occurrences)
어서 오세요 (2 atoms, 5 occurrences)
말도 안 되는 (3 atoms, 5 occurrences)
제발, 제발 (3 atoms, 5 occurrences)
어떻게 이럴 (2 atoms, 5 occurrences)
모든 게 (2 atoms, 5 occurrences)
여기서 뭘 (2 atoms, 5 occurrences)
안 보이는데 (2 atoms, 5 occurrences)
어쩔 건데 (2 atoms, 5 occurrences)
어쩐 일로 (2 atoms, 5 occurrences)
뭘 보고 (2 atoms, 5 occurrences)
왜 아직 (2 atoms, 5 occurrences)
무슨 문제라도 (2 atoms, 5 occurrences)
이건 어때 (2 atoms, 5 occurrences)
그 말은 (2 atoms, 5 occurrences)
너 그거 (2 atoms, 5 occurrences)
누가 좀 (2 atoms, 5 occurrences)
나는 항상 (2 atoms, 5 occurrences)
가야 해요 (2 atoms, 5 occurrences)
빨리 좀 (2 atoms, 5 occurrences)
내가이 (3 atoms, 5 occurrences)
게 아니야 (2 atoms, 5 occurrences)
이해가 안 돼 (4 atoms, 5 occurrences)
그 때 (2 atoms, 5 occurrences)
이 책이 (2 atoms, 5 occurrences)
적이 있어 (2 atoms, 5 occurrences)
생각해 본 (2 atoms, 5 occurrences)
내 동생은 (2 atoms, 5 occurrences)
애는 (2 atoms, 5 occurrences)
내가 못 (2 atoms, 5 occurrences)
내 손에 (2 atoms, 5 occurrences)
그럼 어떻게 (2 atoms, 5 occurrences)
안 갔어 (2 atoms, 5 occurrences)
마님 처소에 (2 atoms, 5 occurrences)
이 사람이 (2 atoms, 5 occurrences)
때까지 (2 atoms, 5 occurrences)
뭐 하나 (2 atoms, 5 occurrences)
더 많이 (2 atoms, 5 occurrences)
이거 좀 (2 atoms, 5 occurrences)
해야 하지 (2 atoms, 5 occurrences)
같이 안 (2 atoms, 5 occurrences)
가면 안 돼 (3 atoms, 5 occurrences)
있는 사람 (2 atoms, 5 occurrences)
어떻게 돼 (2 atoms, 5 occurrences)
수 있도록 (2 atoms, 5 occurrences)
근데 이게 (2 atoms, 5 occurrences)
돈 때문에 (2 atoms, 5 occurrences)
누가 알아 (2 atoms, 5 occurrences)
것 같은 (2 atoms, 5 occurrences)
저와 함께 (2 atoms, 5 occurrences)
그 소식을 (2 atoms, 5 occurrences)
왜 저래 (2 atoms, 5 occurrences)
매일 아침 (2 atoms, 5 occurrences)
그러지 마 (2 atoms, 5 occurrences)
해도 돼 (2 atoms, 5 occurrences)
왜 이러는 (2 atoms, 5 occurrences)
어디서 난 (2 atoms, 5 occurrences)
안 먹어 (2 atoms, 5 occurrences)
넌 어떻게 (2 atoms, 5 occurrences)
못 참아 (2 atoms, 5 occurrences)
오, 맙소사 (3 atoms, 5 occurrences)
이러는 거야 (2 atoms, 5 occurrences)
엿 먹어라 (2 atoms, 5 occurrences)
저 여자가 (2 atoms, 5 occurrences)
이 새끼 (2 atoms, 5 occurrences)
그 애를 (2 atoms, 5 occurrences)
할 건데 (2 atoms, 5 occurrences)
학교는 (2 atoms, 5 occurrences)
마음에 들어 (2 atoms, 5 occurrences)
왜 다들 (2 atoms, 5 occurrences)
갖고 있어 (2 atoms, 5 occurrences)
아무도 못 (2 atoms, 5 occurrences)
어디 있니 (2 atoms, 5 occurrences)
어디 가세요 (2 atoms, 5 occurrences)
이 책을 (2 atoms, 5 occurrences)
하고 싶어 (2 atoms, 5 occurrences)
이 시간에 (3 atoms, 5 occurrences)
걸을 수 (2 atoms, 5 occurrences)
그런 일이 (2 atoms, 5 occurrences)
돈을 더 (2 atoms, 5 occurrences)
난 네가 (2 atoms, 5 occurrences)
어디 있는지 (2 atoms, 5 occurrences)
그럼 내가 (2 atoms, 5 occurrences)
왜 하필 (2 atoms, 5 occurrences)
시간 있어 (2 atoms, 5 occurrences)
하나도 안 (2 atoms, 5 occurrences)
무슨 소릴 (2 atoms, 5 occurrences)
무슨 말이에요 (2 atoms, 5 occurrences)
넌 뭘 (2 atoms, 5 occurrences)
말해 줄 (2 atoms, 5 occurrences)
뭐 때문에 (2 atoms, 5 occurrences)
수 있습니다 (2 atoms, 5 occurrences)
그래, 바로 (3 atoms, 5 occurrences)
두 잔 (2 atoms, 5 occurrences)
것 같습니다 (2 atoms, 5 occurrences)
그 유명한 (2 atoms, 5 occurrences)
뭐 했어요 (2 atoms, 5 occurrences)
하고 있는 거야 (3 atoms, 5 occurrences)
이 동네 (2 atoms, 5 occurrences)
간 거지 (2 atoms, 5 occurrences)
뭔 소리야 (2 atoms, 5 occurrences)
게 뭔지 (2 atoms, 5 occurrences)
할 수 있는 (3 atoms, 5 occurrences)
무슨 일이 있었는지 (3 atoms, 5 occurrences)
이런 거 (2 atoms, 5 occurrences)
한 장 (2 atoms, 5 occurrences)
말 들리나 (2 atoms, 5 occurrences)
너 아직도 (2 atoms, 5 occurrences)
어떻게 된 거예요 (3 atoms, 5 occurrences)
무슨 소리지 (2 atoms, 5 occurrences)
처음부터 (2 atoms, 5 occurrences)
왜 또 (2 atoms, 5 occurrences)
할 일이 (2 atoms, 5 occurrences)
날 못 (2 atoms, 5 occurrences)
그 남자 (2 atoms, 5 occurrences)
조금만 더 (2 atoms, 5 occurrences)
은 요 (3 atoms, 5 occurrences)
여긴 어떻게 (2 atoms, 5 occurrences)
무슨 상관이죠 (2 atoms, 5 occurrences)
좀 마 (2 atoms, 5 occurrences)
한 번에 (2 atoms, 5 occurrences)
놈은 어디 (2 atoms, 5 occurrences)
알고 있나 (2 atoms, 5 occurrences)
안 된다고 (2 atoms, 5 occurrences)
이런 걸 (2 atoms, 5 occurrences)
이름이 뭐니 (2 atoms, 5 occurrences)
입 좀 (2 atoms, 5 occurrences)
우리가 왜 (2 atoms, 5 occurrences)
최대한 빨리 (2 atoms, 5 occurrences)
안 돼, 안 돼 (5 atoms, 5 occurrences)
제발 좀 (2 atoms, 5 occurrences)
미친 짓이야 (2 atoms, 5 occurrences)
망할 놈의 (2 atoms, 5 occurrences)
거 맞아요 (2 atoms, 5 occurrences)
어렸을 때 (2 atoms, 5 occurrences)
는 뭐 야 (4 atoms, 5 occurrences)
아니, 내가 (3 atoms, 5 occurrences)
네 놈이 (2 atoms, 5 occurrences)
가치가 있다 (2 atoms, 5 occurrences)
그런 말 (2 atoms, 5 occurrences)
앞에 있는 (2 atoms, 5 occurrences)
누구 예요 (3 atoms, 5 occurrences)
뭐가 그렇게 (2 atoms, 5 occurrences)
우리 중 (2 atoms, 5 occurrences)
팬 여러분 (2 atoms, 5 occurrences)
그 새끼 (2 atoms, 5 occurrences)
제일 먼저 (2 atoms, 5 occurrences)
좀 그만 (2 atoms, 5 occurrences)
내 신발 (2 atoms, 5 occurrences)
이게 내 (2 atoms, 5 occurrences)
우리 가족은 (2 atoms, 5 occurrences)
아 진짜 (2 atoms, 5 occurrences)
대체 뭐야 (2 atoms, 5 occurrences)
가지고 있지 (2 atoms, 5 occurrences)
수 있을 (2 atoms, 5 occurrences)
거 기억나 (2 atoms, 5 occurrences)
뭘 하죠 (2 atoms, 5 occurrences)
한 짓 (2 atoms, 5 occurrences)
좋은 아침 (2 atoms, 5 occurrences)
할 줄 알아 (3 atoms, 5 occurrences)
네가 뭘 안다고 (3 atoms, 5 occurrences)
안 나요 (2 atoms, 5 occurrences)
제대로 된 (2 atoms, 5 occurrences)
무슨 일인가 (2 atoms, 5 occurrences)
이 일에 (2 atoms, 5 occurrences)
하는 거예요 (2 atoms, 5 occurrences)
다른 사람들은 (2 atoms, 5 occurrences)
할 줄 아는 (3 atoms, 5 occurrences)
올 수 (2 atoms, 5 occurrences)
내가 얼마나 (2 atoms, 5 occurrences)
엄마, 아빠 (3 atoms, 5 occurrences)
뭘 안다고 (2 atoms, 5 occurrences)
멋지지 않아요 (2 atoms, 5 occurrences)
죽지 마 (2 atoms, 5 occurrences)
버스를 타고 (2 atoms, 5 occurrences)
말이 돼 (2 atoms, 5 occurrences)
말을 안 (2 atoms, 5 occurrences)
그럼 이건 (2 atoms, 5 occurrences)
좀 빌려 줄래 (3 atoms, 5 occurrences)
어디 있니 (2 atoms, 5 occurrences)
정신 나갔어 (2 atoms, 5 occurrences)
어떻게 그렇게 (2 atoms, 5 occurrences)
가도 돼 (2 atoms, 5 occurrences)
여기 있나요 (2 atoms, 5 occurrences)
안 될까요 (2 atoms, 5 occurrences)
이런 식으로 (2 atoms, 5 occurrences)
말이 돼요 (2 atoms, 5 occurrences)
누가이 (3 atoms, 5 occurrences)
게 있는데 (2 atoms, 5 occurrences)
여기서 뭐 (2 atoms, 5 occurrences)
기다려 주세요 (2 atoms, 5 occurrences)
뭐라고 하지 (2 atoms, 5 occurrences)
무슨 말이야 (2 atoms, 5 occurrences)
내버려 둬 (2 atoms, 5 occurrences)
죽고 싶어 (2 atoms, 5 occurrences)
이 집 (2 atoms, 5 occurrences)
안 되나요 (2 atoms, 5 occurrences)
왜 맨날 (2 atoms, 5 occurrences)
못 봤는데 (2 atoms, 5 occurrences)
알 수 (2 atoms, 5 occurrences)
건 어때 (2 atoms, 5 occurrences)
정말 미안해 (2 atoms, 5 occurrences)
게 있어 (2 atoms, 5 occurrences)
누구 에게 (3 atoms, 4 occurrences)
뭘 원하는 (2 atoms, 4 occurrences)
이 망할 (2 atoms, 4 occurrences)
내가 뭐라고 (2 atoms, 4 occurrences)
맞는 것 (2 atoms, 4 occurrences)
갈 거지 (2 atoms, 4 occurrences)
또 무슨 (2 atoms, 4 occurrences)
아무것도 못 (2 atoms, 4 occurrences)
있을 것 (2 atoms, 4 occurrences)
네가 무슨 (2 atoms, 4 occurrences)
더 가까이 (2 atoms, 4 occurrences)
다른 건 (2 atoms, 4 occurrences)
할 거 (2 atoms, 4 occurrences)
당신은 어떻게 (2 atoms, 4 occurrences)
너 지금 (2 atoms, 4 occurrences)
못 봐 (2 atoms, 4 occurrences)
뭘 원하는 거야 (3 atoms, 4 occurrences)
하고 싶니 (2 atoms, 4 occurrences)
어떻게 그런 (2 atoms, 4 occurrences)
난 못 (2 atoms, 4 occurrences)
무슨 이야기 (2 atoms, 4 occurrences)
수 있는데 (2 atoms, 4 occurrences)
지킬 수 (2 atoms, 4 occurrences)
몇 가지 (2 atoms, 4 occurrences)
된 거죠 (2 atoms, 4 occurrences)
왜 말을 안 (3 atoms, 4 occurrences)
수 없다 (2 atoms, 4 occurrences)
어떤 사람이 (2 atoms, 4 occurrences)
나 혼자 (2 atoms, 4 occurrences)
짓을 한 거야 (3 atoms, 4 occurrences)
뭐 해요 (2 atoms, 4 occurrences)
그 망할 (2 atoms, 4 occurrences)
어떻게 된 거죠 (3 atoms, 4 occurrences)
말하지 마 (2 atoms, 4 occurrences)
이제 뭘 (2 atoms, 4 occurrences)
건 알고 (2 atoms, 4 occurrences)
누가 이런 (2 atoms, 4 occurrences)
무슨 짓을 한 (3 atoms, 4 occurrences)
또 뭘 (2 atoms, 4 occurrences)
몇 시간이나 (2 atoms, 4 occurrences)
이걸 어떻게 (2 atoms, 4 occurrences)
뭘 어떻게 (2 atoms, 4 occurrences)
내 말 안 (3 atoms, 4 occurrences)
무슨 짓을 한 거야 (4 atoms, 4 occurrences)
싶은 거 (2 atoms, 4 occurrences)
점점 더 (2 atoms, 4 occurrences)
제가 어떻게 (2 atoms, 4 occurrences)
오늘 아침 (2 atoms, 4 occurrences)
수 있는 (2 atoms, 4 occurrences)
이봐, 이봐 (3 atoms, 4 occurrences)
그만 좀 해 (3 atoms, 4 occurrences)
수 있다는 (2 atoms, 4 occurrences)
내 모든 (2 atoms, 4 occurrences)
우리 집 (2 atoms, 4 occurrences)
뭐 있어 (2 atoms, 4 occurrences)
어떻게 한 (2 atoms, 4 occurrences)
내 말을 (2 atoms, 4 occurrences)
얼마나 자주 (2 atoms, 4 occurrences)
이 모든 (2 atoms, 4 occurrences)
하지만 왜 (2 atoms, 4 occurrences)
근데 왜 (2 atoms, 4 occurrences)
것 좀 (2 atoms, 4 occurrences)
내가 그를 (2 atoms, 4 occurrences)
이제 뭐 (2 atoms, 4 occurrences)
도저히 못 (2 atoms, 4 occurrences)
아, 아 (3 atoms, 4 occurrences)
에는 (2 atoms, 4 occurrences)
한 잔 더 (3 atoms, 4 occurrences)
는 뭐 (2 atoms, 4 occurrences)
왜 말 안 (3 atoms, 4 occurrences)
이름은 (2 atoms, 4 occurrences)
난 왜 (2 atoms, 4 occurrences)
난 안 (2 atoms, 4 occurrences)
왜 여기 있지 (3 atoms, 4 occurrences)
거 다 (2 atoms, 4 occurrences)
가면 안 (2 atoms, 4 occurrences)
이제 막 (2 atoms, 4 occurrences)
말 못 (2 atoms, 4 occurrences)
돈 좀 (2 atoms, 4 occurrences)
그래서 나는 (2 atoms, 4 occurrences)
짓을 하는 (2 atoms, 4 occurrences)
그런 적 (2 atoms, 4 occurrences)
넌 그 (2 atoms, 4 occurrences)
게 무슨 (2 atoms, 4 occurrences)
아냐, 아냐 (3 atoms, 4 occurrences)
안 했지 (2 atoms, 4 occurrences)
미친 거 (2 atoms, 4 occurrences)
왜 말 (2 atoms, 4 occurrences)
만들 수 (2 atoms, 4 occurrences)
어떤 일을 (2 atoms, 4 occurrences)
해줄 수 (2 atoms, 4 occurrences)
있는 것 같아 (3 atoms, 4 occurrences)
있는 거지 (2 atoms, 4 occurrences)
적 있어요 (2 atoms, 4 occurrences)
예를 들면 (2 atoms, 4 occurrences)
예를 들어 (2 atoms, 3 occurrences)
누구 한테 (3 atoms, 3 occurrences)
그 누구도 (2 atoms, 3 occurrences)
이해가 (2 atoms, 3 occurrences)
모든 것 (2 atoms, 3 occurrences)
말도 (2 atoms, 3 occurrences)
그런 것 (2 atoms, 3 occurrences)
하고 싶다 (2 atoms, 3 occurrences)
보고 싶다 (2 atoms, 3 occurrences)
집에 가고 (2 atoms, 3 occurrences)
왜 왔어 (2 atoms, 3 occurrences)
까지는 (2 atoms, 3 occurrences)
대로 해 (2 atoms, 3 occurrences)
더 자주 (2 atoms, 3 occurrences)
말 있어 (2 atoms, 3 occurrences)
내가 좀 (2 atoms, 3 occurrences)
시간이 없다 (2 atoms, 3 occurrences)
왜 여기 있어 (3 atoms, 3 occurrences)
대체 뭐가 (2 atoms, 3 occurrences)
가,가 (4 atoms, 3 occurrences)
우린 어떻게 (2 atoms, 3 occurrences)
건 없어 (2 atoms, 3 occurrences)
나쁜 놈 (2 atoms, 3 occurrences)
뭔지 알아 (2 atoms, 3 occurrences)
하고 있는 (2 atoms, 3 occurrences)
거 같지 (2 atoms, 3 occurrences)
것 같지 (2 atoms, 3 occurrences)
될 것 (2 atoms, 3 occurrences)
모를 줄 (2 atoms, 3 occurrences)
여기 좀 (2 atoms, 3 occurrences)
거 안 (2 atoms, 3 occurrences)
거의 매일 (2 atoms, 3 occurrences)
왜 말을 (2 atoms, 3 occurrences)
무슨 얘기 (2 atoms, 3 occurrences)
한 가지 (2 atoms, 3 occurrences)
걸 왜 (2 atoms, 3 occurrences)
다른 사람 (2 atoms, 3 occurrences)
일은 (2 atoms, 3 occurrences)
그렇게 안 (2 atoms, 3 occurrences)
제대로 못 (2 atoms, 3 occurrences)
한번 더 (2 atoms, 3 occurrences)
본 적 있어 (3 atoms, 3 occurrences)
지금 무슨 (2 atoms, 3 occurrences)
거 있어요 (2 atoms, 3 occurrences)
안 돼, 안 돼, 안 돼 (8 atoms, 3 occurrences)
어떻게 좀 (2 atoms, 3 occurrences)
가는 게 (2 atoms, 3 occurrences)
일 있어 (2 atoms, 3 occurrences)
안 하는 (2 atoms, 3 occurrences)
여기 왜 (2 atoms, 3 occurrences)
개 같은 (2 atoms, 3 occurrences)
상황은 (2 atoms, 3 occurrences)
얼마나 됐어 (2 atoms, 3 occurrences)
내 말 듣고 (3 atoms, 3 occurrences)
또 뭐 (2 atoms, 3 occurrences)
자, 자 (3 atoms, 3 occurrences)
적 없어 (2 atoms, 3 occurrences)
적 있나 (2 atoms, 3 occurrences)
지금 즉시 (2 atoms, 3 occurrences)
커피 한 잔 (3 atoms, 3 occurrences)
그런 식으로 (2 atoms, 3 occurrences)
번도 (2 atoms, 3 occurrences)
망할 놈 (2 atoms, 3 occurrences)
지금 뭘 (2 atoms, 3 occurrences)
세 번째 (2 atoms, 3 occurrences)
그런 생각을 (2 atoms, 3 occurrences)
안 쓰고 (2 atoms, 3 occurrences)
하고 있어요 (2 atoms, 3 occurrences)
그런데 어떻게 (2 atoms, 3 occurrences)
한 거 (2 atoms, 3 occurrences)
잘 안 (2 atoms, 3 occurrences)
몇 주 (2 atoms, 3 occurrences)
전혀 없다 (2 atoms, 2 occurrences)
내가 할 (2 atoms, 2 occurrences)
다른 분 (2 atoms, 2 occurrences)
잔 더 (2 atoms, 2 occurrences)
너무 좋다 (2 atoms, 2 occurrences)
어떤 거 (2 atoms, 2 occurrences)
어디에 (2 atoms, 2 occurrences)
저런 걸 (2 atoms, 2 occurrences)
뭘 하는 (2 atoms, 2 occurrences)
애초부터 (2 atoms, 2 occurrences)
야, 야, 야 (5 atoms, 2 occurrences)
그런 소리 (2 atoms, 2 occurrences)
는 대로 (2 atoms, 2 occurrences)
거 있나 (2 atoms, 2 occurrences)
날 안 (2 atoms, 2 occurrences)
현장에서 (2 atoms, 2 occurrences)
또 왜 (2 atoms, 2 occurrences)
그 순간 (2 atoms, 2 occurrences)
찾고 있다 (2 atoms, 2 occurrences)
더 필요한 (2 atoms, 2 occurrences)
걸 다 (2 atoms, 2 occurrences)
거 알고 (2 atoms, 2 occurrences)
좀 주세요 (2 atoms, 2 occurrences)
하든 말든 (2 atoms, 2 occurrences)
이런 식으로 (2 atoms, 2 occurrences)
거기 당신 (2 atoms, 2 occurrences)
이런 게 (2 atoms, 2 occurrences)
이해가 안 (3 atoms, 2 occurrences)
얼마나 오래 (2 atoms, 2 occurrences)
머리가 아프다 (2 atoms, 2 occurrences)
그럼에도 불구하고 (2 atoms, 2 occurrences)
여기 있지 (2 atoms, 2 occurrences)
여러 번 (2 atoms, 2 occurrences)
는 어디 (2 atoms, 2 occurrences)
어떤 게 (2 atoms, 2 occurrences)
우리 아빠 (2 atoms, 2 occurrences)
얼마나 빨리 (2 atoms, 2 occurrences)
버릇이 없다 (2 atoms, 2 occurrences)
나 여기 (2 atoms, 2 occurrences)
아무 데도 (3 atoms, 2 occurrences)
다른 거 (2 atoms, 2 occurrences)
가는 거죠 (2 atoms, 2 occurrences)
다른 걸 (2 atoms, 2 occurrences)
있는 것 (2 atoms, 2 occurrences)
넌 할 수 (3 atoms, 2 occurrences)
커피 한 (2 atoms, 2 occurrences)
같은 걸 (2 atoms, 2 occurrences)
우릴 다 (2 atoms, 2 occurrences)
지금 바로 (2 atoms, 2 occurrences)
어느 쪽 (2 atoms, 2 occurrences)
그런 일을 (2 atoms, 2 occurrences)
일 안 (2 atoms, 2 occurrences)
게 뭐야 (2 atoms, 2 occurrences)
바로 여기 (2 atoms, 2 occurrences)
이런 젠장 (2 atoms, 2 occurrences)
좋은 거 (2 atoms, 2 occurrences)
저런 식으로 (2 atoms, 2 occurrences)
잘 한다 (2 atoms, 2 occurrences)
그런 짓 (2 atoms, 2 occurrences)
건 어떻게 (2 atoms, 2 occurrences)
몇 시간 (2 atoms, 2 occurrences)
어느 쪽이 (2 atoms, 2 occurrences)
가본 적 (2 atoms, 2 occurrences)
어떤 사람 (2 atoms, 1 occurrences)
몇 번째 (2 atoms, 1 occurrences)
그 외에도 (2 atoms, 1 occurrences)
참을 수 없다 (3 atoms, 1 occurrences)
좀 많이 (2 atoms, 1 occurrences)
누구 고 (3 atoms, 1 occurrences)
그럴 줄 (2 atoms, 1 occurrences)
바로 그 (2 atoms, 1 occurrences)
몇 개씩 (2 atoms, 1 occurrences)
제대로 안 (2 atoms, 1 occurrences)
왜 이래 (2 atoms, 1 occurrences)
그런 일이 (3 atoms, 1 occurrences)
비슷한 것 (2 atoms, 1 occurrences)
같은 기분 (2 atoms, 1 occurrences)
그 동안 (2 atoms, 1 occurrences)
뭘 한 (2 atoms, 1 occurrences)
더 높이 (2 atoms, 1 occurrences)
있을 것 (2 atoms, 1 occurrences)
그런 사람을 (2 atoms, 1 occurrences)
시간에 (2 atoms, 1 occurrences)
몇 년간 (2 atoms, 1 occurrences)
빌려 줄래 (2 atoms, 1 occurrences)
그런 놈을 (2 atoms, 1 occurrences)
돈이 없다 (2 atoms, 1 occurrences)
별다른 일 (2 atoms, 1 occurrences)
같은 놈 (2 atoms, 1 occurrences)
왜 일부러 (2 atoms, 1 occurrences)
어떻게 되는 (2 atoms, 1 occurrences)
것을 환영합니다 (2 atoms, 1 occurrences)
죽일 놈 (2 atoms, 1 occurrences)
밖에 없다 (2 atoms, 1 occurrences)
위한 것 (2 atoms, 1 occurrences)
