# Supertokens for Korean (4299 total, sorted by frequency)

가장 좋아하는 (2 atoms, 12 occurrences)
가야 해 (2 atoms, 12 occurrences)
그런 걸 (2 atoms, 12 occurrences)
이게 다 (2 atoms, 12 occurrences)
나랑같이 (3 atoms, 12 occurrences)
기억 안 (2 atoms, 12 occurrences)
그만 좀 (2 atoms, 12 occurrences)
내가 네 (2 atoms, 12 occurrences)
어서가 (3 atoms, 12 occurrences)
안 되는 (2 atoms, 12 occurrences)
거 없어 (2 atoms, 12 occurrences)
이런 걸 (2 atoms, 12 occurrences)
안 된다 (2 atoms, 12 occurrences)
사람 있어 (2 atoms, 12 occurrences)
가지고 있어 (2 atoms, 12 occurrences)
어떻게 할 (2 atoms, 12 occurrences)
정신 차려 (2 atoms, 12 occurrences)
문 좀 (2 atoms, 12 occurrences)
한 명 (2 atoms, 12 occurrences)
저 사람은 (2 atoms, 12 occurrences)
잘 지내 (2 atoms, 12 occurrences)
왜 이리 (2 atoms, 12 occurrences)
내 말이 (2 atoms, 12 occurrences)
내가 그렇게 (2 atoms, 12 occurrences)
어떻게 알아요 (2 atoms, 12 occurrences)
있을 거야 (2 atoms, 12 occurrences)
수도 있어 (2 atoms, 12 occurrences)
두 번 (2 atoms, 12 occurrences)
할 수 있어 (3 atoms, 12 occurrences)
오늘 밤에 (2 atoms, 12 occurrences)
누가 널 (2 atoms, 11 occurrences)
건 아니겠지 (2 atoms, 11 occurrences)
무슨 뜻인지 (2 atoms, 11 occurrences)
아무도 안 (2 atoms, 11 occurrences)
몇 살 (2 atoms, 11 occurrences)
모든 것이 (2 atoms, 11 occurrences)
알고 있었어 (2 atoms, 11 occurrences)
훨씬 더 (2 atoms, 11 occurrences)
난 내 (2 atoms, 11 occurrences)
안와 (3 atoms, 11 occurrences)
본 적 있어 (3 atoms, 11 occurrences)
이게 뭐야 (2 atoms, 11 occurrences)
수 없는 (2 atoms, 11 occurrences)
안 그래요 (2 atoms, 11 occurrences)
무슨 말 (2 atoms, 11 occurrences)
수 있겠지 (2 atoms, 11 occurrences)
왜 이래요 (2 atoms, 11 occurrences)
이것 좀 (2 atoms, 11 occurrences)
왜 나한테 (2 atoms, 11 occurrences)
못가 (3 atoms, 11 occurrences)
또 다른 (2 atoms, 11 occurrences)
얘기 좀 (2 atoms, 11 occurrences)
여기 있는 (2 atoms, 11 occurrences)
그 사람이 (2 atoms, 11 occurrences)
전화 안 (2 atoms, 11 occurrences)
해야 해 (2 atoms, 11 occurrences)
나는 내 (2 atoms, 11 occurrences)
거 아니에요 (2 atoms, 11 occurrences)
수 있다고 (2 atoms, 11 occurrences)
문 열어 (2 atoms, 11 occurrences)
나 같은 (2 atoms, 10 occurrences)
그 여자가 (2 atoms, 10 occurrences)
그럼 왜 (2 atoms, 10 occurrences)
같지 않아 (2 atoms, 10 occurrences)
어디 있지 (2 atoms, 10 occurrences)
하는 거지 (2 atoms, 10 occurrences)
이름이 뭐야 (2 atoms, 10 occurrences)
다시 한 번 (3 atoms, 10 occurrences)
어떻게 된 거야 (3 atoms, 10 occurrences)
몇 개 (2 atoms, 10 occurrences)
거 몰라 (2 atoms, 10 occurrences)
뭘 해야 (2 atoms, 10 occurrences)
너무 많이 (2 atoms, 10 occurrences)
이 사람 (2 atoms, 10 occurrences)
할 수 있어요 (3 atoms, 10 occurrences)
물 좀 (2 atoms, 10 occurrences)
어디 있어요 (2 atoms, 10 occurrences)
너이 (3 atoms, 10 occurrences)
죽일 거야 (2 atoms, 10 occurrences)
몇 번이나 (2 atoms, 10 occurrences)
가본 적 있어 (3 atoms, 10 occurrences)
할 말이 (2 atoms, 10 occurrences)
둘 다 (2 atoms, 10 occurrences)
그 여자 (2 atoms, 10 occurrences)
이 더러운 (2 atoms, 10 occurrences)
대체 무슨 (2 atoms, 10 occurrences)
이 자식 (2 atoms, 10 occurrences)
이제 그만 (2 atoms, 10 occurrences)
어디까지 (2 atoms, 10 occurrences)
제가 뭘 (2 atoms, 10 occurrences)
무슨 생각을 (2 atoms, 10 occurrences)
한 대 (2 atoms, 10 occurrences)
어떻게 해야 (2 atoms, 10 occurrences)
줄 알았다 (2 atoms, 10 occurrences)
아무 것도 (2 atoms, 10 occurrences)
왜 내 (2 atoms, 10 occurrences)
뭐하는 거야 (2 atoms, 10 occurrences)
무슨 말인지 (2 atoms, 10 occurrences)
잘 있어 (2 atoms, 10 occurrences)
모든 게 (2 atoms, 10 occurrences)
어디로 가는 (2 atoms, 10 occurrences)
왜 이래 (2 atoms, 10 occurrences)
왜 자꾸 (2 atoms, 10 occurrences)
어디 있죠 (2 atoms, 10 occurrences)
못 봤어요 (2 atoms, 10 occurrences)
될 거야 (2 atoms, 10 occurrences)
안 왔어 (2 atoms, 10 occurrences)
될 수 (2 atoms, 10 occurrences)
네가 내 (2 atoms, 10 occurrences)
한 잔 (2 atoms, 9 occurrences)
잘 들어 (2 atoms, 9 occurrences)
것 같다 (2 atoms, 9 occurrences)
도와줄 수 (2 atoms, 9 occurrences)
왜 그랬어 (2 atoms, 9 occurrences)
이건 내 (2 atoms, 9 occurrences)
나 좀 (2 atoms, 9 occurrences)
그건 왜 (2 atoms, 9 occurrences)
그 사람의 (2 atoms, 9 occurrences)
왜 여기 (2 atoms, 9 occurrences)
한 번도 (2 atoms, 9 occurrences)
는 어때요 (2 atoms, 9 occurrences)
거의 다 (2 atoms, 9 occurrences)
수가 없어 (2 atoms, 9 occurrences)
안 했어 (2 atoms, 9 occurrences)
찾을 수 (2 atoms, 9 occurrences)
