# Supertokens for English (204609 total, sorted by frequency)

know what (2 atoms, 90 occurrences)
go ahead (2 atoms, 90 occurrences)
the man (2 atoms, 90 occurrences)
will do (2 atoms, 90 occurrences)
in love with (3 atoms, 89 occurrences)
a little bit (3 atoms, 89 occurrences)
would like (2 atoms, 89 occurrences)
give up (2 atoms, 89 occurrences)
come from (2 atoms, 89 occurrences)
got to (2 atoms, 88 occurrences)
this afternoon (2 atoms, 88 occurrences)
on it (2 atoms, 88 occurrences)
calm down (2 atoms, 87 occurrences)
this year (2 atoms, 86 occurrences)
you all (2 atoms, 85 occurrences)
all that (2 atoms, 85 occurrences)
no longer (2 atoms, 85 occurrences)
young man (2 atoms, 84 occurrences)
next week (2 atoms, 84 occurrences)
good morning (2 atoms, 84 occurrences)
about me (2 atoms, 84 occurrences)
have done (2 atoms, 84 occurrences)
kill me (2 atoms, 84 occurrences)
last week (2 atoms, 84 occurrences)
years ago (2 atoms, 84 occurrences)
where are you (3 atoms, 83 occurrences)
damn it (2 atoms, 83 occurrences)
good luck (2 atoms, 83 occurrences)
care of (2 atoms, 82 occurrences)
next to (2 atoms, 81 occurrences)
come with (2 atoms, 81 occurrences)
in bed (2 atoms, 80 occurrences)
for that (2 atoms, 80 occurrences)
told you (2 atoms, 80 occurrences)
out there (2 atoms, 79 occurrences)
by the way (3 atoms, 79 occurrences)
go to bed (3 atoms, 78 occurrences)
how are you (3 atoms, 78 occurrences)
right here (2 atoms, 77 occurrences)
this guy (2 atoms, 77 occurrences)
in prison (2 atoms, 76 occurrences)
here and (2 atoms, 76 occurrences)
little girl (2 atoms, 76 occurrences)
get back (2 atoms, 76 occurrences)
on the floor (3 atoms, 75 occurrences)
make sure (2 atoms, 75 occurrences)
the boat (2 atoms, 75 occurrences)
instead of (2 atoms, 75 occurrences)
high school (2 atoms, 75 occurrences)
want to know (3 atoms, 74 occurrences)
as if (2 atoms, 74 occurrences)
so many (2 atoms, 73 occurrences)
cup of coffee (3 atoms, 73 occurrences)
according to (2 atoms, 73 occurrences)
not even (2 atoms, 73 occurrences)
up there (2 atoms, 72 occurrences)
in the room (3 atoms, 72 occurrences)
work in (2 atoms, 72 occurrences)
think we should (3 atoms, 71 occurrences)
go with (2 atoms, 71 occurrences)
be in (2 atoms, 71 occurrences)
I want to know (4 atoms, 71 occurrences)
you trying (2 atoms, 71 occurrences)
know about (2 atoms, 70 occurrences)
this evening (2 atoms, 70 occurrences)
get rid of (3 atoms, 70 occurrences)
talked about (2 atoms, 70 occurrences)
these days (2 atoms, 69 occurrences)
next time (2 atoms, 69 occurrences)
same thing (2 atoms, 69 occurrences)
