ABC순	ABC	순
나무딸기	나무	딸기
나무배	나무	배
나무뿌리	나무	뿌리
나무새	나무	새
나무숲	나무	숲
나무위키	나무	위키의 합성명사로 이 중 위키는 Hawaiian wiki에서 유래한 영어 wiki.
나무잎	나무	잎
나무저가락	나무	저가락
나무젓가락	나무	젓가락
나무총	나무	총
나무타기사촌	나무	타기	사촌
나무토막	나무	토막
나무통	나무	통
나뭇가지	나무	ㅅ	가지
나뭇단	나무	ㅅ	단
나뭇잎	나무	ㅅ	잎
나미반	나미	반
나미밥	나미	밥
나박하다	나박	하다
나불거리다	나불	거리다
나불대다	나불	대다
나붓거리다	나붓	거리다
나붓대다	나붓	대다
나비	나봇	이
나비 효과	나비	효과
나비헤염	나비	헤염
나빠지다	나빠	지다
나쁜	나쁘다	ㄴ
나쁨	나쁘다	ㅁ
나사돌리개	나사	돌리개
나선 은하	나선	은하
나선구름	나선	구름
나선띠	나선	띠
나아지다	나아	지다
나오다	나	오다
나울거리다	나울	거리다
나울대다	나울	대다
나은	낫다	은
나음	낫다	음
나의	나	의
나이가 들다	나이	들다
나이층	나이	층
나이테	나이	테
나일강	Nile	강
나일악어	나일강	악어
나장조	나	장조
나절	낮	알
나지막하다	나지막	하다
나치 독일	나치	^독일
나치주의자	독일어 Nazi	주의자
나타나다	나타	나다
나타내다	나타	내다
나탈거리다	나탈	거리다
나탈대다	나탈	대다
나팔거리다	나팔	거리다
나팔꽃	나팔	꽃
나팔대다	나팔	대다
나팔바지	나팔	바지
나푼거리다	나푼	거리다
나푼대다	나푼	대다
나풀거리다	나풀	거리다
나풀대다	나풀	대다
낙관적	낙관	적
낙관주의자	낙관주의	자: 한자 樂觀主義者.
낙관하다	낙관	하다
낙락장송	낙락	장송
낙뢰관측시스템	낙뢰	관측	시스템
낙방하다	낙방	하다
낙산사칠층석탑	낙산사	칠층	석탑
낙서하다	낙서	하다
낙선하다	낙선	하다
낙승하다	낙승	하다
낙심하다	낙심	하다
낙엽송	낙엽	송
낙오하다	낙오	하다
낙천적	한자 樂天的. < 낙천	적
낙천주의자	낙천주의	자: 한자 樂天主義者.
낙타고기	낙타	고기
낙태시키다	낙태	시키다
낙태하다	낙태	하다
낚시꾼	낚시	꾼
낚시복	낚시	복
낚시터	낚시	터
낚시회	낚시	회
낚싯대	낚시	ㅅ	대
낚싯바늘	낚시	바늘
낚이다	낚	이	다
난감하다	난감	하다
난데없는	난데없다	는
난롯가	난로	가
난롯불	난로	ㅅ	불
난류경계층	난류	경계	층
난류맴돌이	난류	맴돌이
난류역전	난류	역전
난류운동	난류	운동
난류응결고도	난류	응결	고도
난류혼합	난류	혼합
난류흐름	난류	흐름
난방도일	난방	도일
난봉꾼	난봉	꾼
난생	나다 > 난	생
난생처음	나다 > 난	생	처음
난작거리다	난작	거리다
난작대다	난작	대다
난장판	난장	판
난쟁이	낮	은	쟁이
난중하다	난중	하다
난지락거리다	난지락	거리다
난지락대다	난지락	대다
난처하다	난처	하다
난초꽃	난초	꽃
난층운	난층	운
난티나무	난티	나무
난파시키다	난파	시키다
난편하다	난편	하다
난폭하다	난폭	하다
난후기	난후	기
낟알	낟	알
날개	날	개
날개망둑	날개	망둑
날개옷	날개	옷
날갯죽지	날개	ㅅ	죽지
날건달	날	건달
날것	날	것
날고기	날	고기
날김치	날	김치
날랜	날래다	ㄴ
날램	날래다	ㅁ
날려쌓인 눈	날리다 > 날려	쌓이다 > 쌓인	눈
날렵하다	날렵	하다
날로	날	로
날름거리다	날름	거리다
날름대다	날름	대다
날름쇠	날름	쇠
날리다	날다	리
날린물보라	날리다	ㄴ	물보라
날림눈	날리다	ㅁ	눈
날마다	날	마다
날망둑	날	망둑
날맥주	날	맥주
날벼락	날	벼락
날쌍날쌍히	날쌍날쌍	히
날씨	날	씨
날씨분석	날씨	분석
날아가다	날아	가다
날아오다	날다	오다
날이 들다	날	들다
날짐승	날	짐승
날짱거리다	날짱	거리다
날짱대다	날짱	대다
날짱이다	날짱	이다
날치기사격경기	날치기	사격경기
날카로운	날카롭다	ㄴ
날카로움	날카롭다	ㅁ
날캉거리다	날캉	거리다
날캉대다	날캉	대다
날큰거리다	날큰	거리다
날큰대다	날큰	대다
날틀	날다	틀
날파리	날	파리
남극해	남극	해
남김없이	남김	없이
남날	나무	날
남남	남	남
남녀노소	남녀	노소
남녀로소	한자 男女老少. < 남녀	로소
남녘	남	녘
남녘땅	남	녘	땅
남동계절풍	남동	계절	풍
남동무	남	동무
남동부	남동	부
남동생	남	동생
남반구	남	반구
남방종개	남방	종개
남방진동	남방	진동
남방호랑고양이	남방	호랑고양이
남베트남	남	^베트남
남부오쎄찌야	남부	오쎄찌야
남북류	남북	류
남비탕	남비	탕
남산제비꽃	남산	제비꽃
남상거리다	남상	거리다
남상대다	남상	대다
남서계절풍	남서	계절풍
남서쪽	남서	쪽
남성공포증	남성	공포증
남성적	한자 男性的. < 남성	적
남수단	남	수단
남실거리다	남실	거리다
남실대다	남실	대다
남실바람	남실	바람
남아메리카	남	아메리카
남아시아	남	아시아
남아프리카	남	^아프리카
남아프리카 공화국	남	아프리카	공화국
남아프리카 련방	남	^아프리카	련방
남아프리카 연방	남	^아프리카	연방
남아프리카공화국	남	^아프리카	공화국
남아프리카의 외침	^남아프리카	의	외침
남예멘	남	예멘
남오미자	남	오미자
남우세스럽다	남우세	스럽다
남움직씨	남	움직씨
남유럽	남	유럽
남의자	남	의	자
남자색	남	자색
남자아이	남자	아이
남자친구	남자	친구
남정네	남정	네
남조류	남조	류
남조선 바람	^남조선	바람
남중국해	남	중국	해
남쪽	남	쪽
남탕	남	탕
남편감	남편	감
남포등	남포	등
남학생	남	학생
남한	남	한
남향집	남향	집
납대대하다	납대대	하다
납도리	납	도리
납득하다	납득	하다
납땜인두	납땜	인두
납신거리다	납신	거리다
납신대다	납신	대다
납작거리다	납작	거리다
납작납작	납작	납작
납작대다	납작	대다
납작하다	납작	하다
납죽거리다	납죽	거리다
납죽대다	납죽	대다
납죽하다	납죽	하다
낫낫하다	낫낫	하다
낫돌고래	낫	돌고래
낫질	낫	질
낭랑하다	낭랑	하다
낭만주의	낭만	주의
낭비하다	낭비	하다
낭송시	한자 朗誦詩. < 낭송	시
낭송하다	낭송	하다
낭자하다	낭자	하다
낭창거리다	낭창	거리다
낭창대다	낭창	대다
낭창하다	낭창	하다
낮거리	낮	거리
낮은	낮다	은
낮음	낮다	음
낮일	낮	일
낮잠	낮	잠
낮잡다	낮	잡다
낮전	낮	전
낮추다	낮다	추
낮춤	낮추다 > 낮추	ㅁ
낮춤말	낮춤	말
낯가죽	낯	가죽
낯설다	낮	설다
낯익다	낯	익다
낯짝	낯	짝
낱낱	낱	낱
낱낱이	낱	낱	이
낱말	낱	말
낱소리	낱	소리
낱자	낱	자
내	나	의
내가	내	가
내국인	한자 內國人. < 내국	인
내기	내	기
내달	내	달
내려가다	내려	가다
내려디디기	내리다 > 내려	디디기 < 디디다
내려받기	내리다 > 내려	받기
내려앉다	내리다	앉다
내로라하다	내로라	하다
내륙기후	내륙	기후
내륙안개	내륙	안개
내리바람	내리다 > 내리	바람
내리받이	내리받	이
내림가단조	내림	가단조
내림가장조	내림	가장조
내림나단조	내림	나단조
내림나장조	내림	나장조
내림다장조	내림	다장조
내림라장조	내림	라장조
내림마단조	내림	마단조
내림마장조	내림	마장조
내림바장조	내림	바장조
내림사장조	내림	사장조
내림차순	내림 < 내리다	차	순
내명하다	내명	하다
내밀다	내	밀다
내뱉다	내	뱉다
내부기생	내부	기생
내부에너지	내부	에너지 < 영어 energy
내빙하다	내빙	하다.
내일모레	내일	모레
내재적	한자 內在的. < 내재	적
내적	한자 內的. < 내	적
내절로	내	절로.
내접원	내접	원
내주다	내	주다
내쫓다	내	쫓다
내출혈	한자 內出血. < 내	출혈
내파음	내파	음
내팽개치다	내	팽개치다: «팽개치다»의 강조.
내폭음	내폭	음
냄새빼기감	냄새	빼다	감
냇가	내	ㅅ	가
냉각탑	냉각	탑
냉각하다	냉각	하다
냉국	냉	국
냉담하다	냉담	하다
냉동고	냉동	고
냉동하다	냉동	하다.
냉랭하다	냉랭	하다
냉무	냉	무
냉방도일	냉방	도일
냉장고	냉장	고
냉해	냉	해
냐옹이	냐옹	이
냠냠거리다	냠냠	거리다
냠냠대다	냠냠	대다
냠냠하다	냠냠	하다
냥아치	냥	양아치
너그러운	너그럽다	ㄴ
너그러움	너그럽다	ㅁ
너끈하다	너끈	하다
너나들이	너	나	들이
너덜거리다	너덜	거리다
너덜대다	너덜	대다
너도밤	너도	밤
너도밤나무	너도밤	나무
너렁청하다	너렁청	하다
너른	너르다	ㄴ
너름	너르다	ㅁ
너무나	너무	나
너무너무	너무	너무
너불거리다	너불	거리다
너불대다	너불	대다
너붓거리다	너붓	거리다
너붓대다	너붓	대다
너비	넙	의
너비뛰기	너비	뛰기
너울거리다	너울	거리다
너울대다	너울	대다
너절너절	너절	너절
너주레하다	너주레	하다
너털거리다	너털	거리다
너털대다	너털	대다
너펄거리다	너펄	거리다
너펄너펄	너펄	너펄
너펄대다	너펄	대다
너푼거리다	너푼	거리다
너푼대다	너푼	대다
너풀거리다	너풀	거리다
너풀대다	너풀	대다
너희들	너희	들
넉넉하다	넉넉	하다
넋두리	넋	두리
넋두리하다	넋두리	하다
넌출월귤	넌	출	월귤
널따란	널따랗다	ㄴ
널따람	널따랗다	ㅁ
널뛰기	널	뛰	기
널름거리다	널름	거리다
널름대다	널름	대다
널리	너르—	이
널무덤	널	무덤
널문	널빤지 > 널	문
널벽	널빤지 > 널	벽
넓은	넓다	은
넓은잎나무	넓은	잎	나무
넓은잎삼나무	넓다	잎	삼나무
넓은주둥이상어	넓은	주둥이	상어
넓음	넓다	음
넓이	넓	이
넓적다리	넓적	다리
넓적다리뼈	넓적다리	뼈
넓적부리	넓적	부리
넓적스레하다	넓적스레	하다
넓적하다	넓적	하다
넓죽하다	넓죽	하다
넓히다	넓다	히
넘겨받다	넘기다	받다
넘겨주다	넘겨	주다
넘너른하다	넘너른	하다
넘늘거리다	넘늘	거리다
넘늘대다	넘늘	대다
넘보다	넘기다 > 넘	보다
넘성거리다	넘성	거리다
넘성대다	넘성	대다
넘실거리다	넘실	거리다
넘실대다	넘실	대다
넘어뜨리다	넘어	뜨리다
넘어지다	넘어	지다
넘어트리다	넘어	트리다
넘치다	넘다	치
넙데데하다	넙데데	하다
넙신거리다	넙신	거리다
넙신대다	넙신	대다
넙적거리다	넙적	거리다
넙적고무신	넙적	고무신
넙적대다	넙적	대다
넙죽거리다	넙죽	거리다
넙죽대다	넙죽	대다
넙치농어	넙치	농어
네	너	이
네네츠어	러시아어 Ненец	어
네덜란드어	^네덜란드	어
네덜란드인	네덜란드	인
네모	네	모
네모꼴	네모	꼴
네모난	네모나다	ㄴ
네모남	네모나다	ㅁ
네바 강	네바	강
네발가락도롱뇽	네	발가락	도롱뇽
네발나비	네	발	나비
네발동물	네	발	동물
네번치기	네	번
네시	네	시
네와르어	네와르	어
네잎 클로버	네	잎	클로버
네제곱	네	제곱
네팔인	네팔	인
넷째	넷	째
녀동무	녀	동무
녀동생	녀	동생
녀탕	한자 女湯. < 녀	탕
노끈	노	끈
노나라	^노	나라
노는계집	노는	계집
노닥거리다	노닥	거리다
노닥대다	노닥	대다
노닥이다	노닥	이다
노대바람	노대	바람
노던줄	노던	줄
노동력	노동	력
노동조합	노동	조합
노란	노랗다	ㄴ
노란개암버섯	노란	개암버섯
노란불	노란	불
노란색	노란	색
노란젖버섯	노란	젖	버섯
노람	노랗다	ㅁ
노랑늪거북	노랑	늪	거북
노랑머리할미새	노랑	머리	할미새
노랑멧새	노랑	멧새
노랑부리까마귀	노랑	부리	까마귀
노랑부리백로	노랑	부리	백로
노랑부리저어새	노랑	부리	저어새
노래방	노래	방
노래방 부스	노래방	booth
노래춤묶음	노래	춤	묶음
노래하다	노래	하다
노랫말	노래	ㅅ	말
노랫소리	노래	ㅅ	소리
노력하다	노력	하다
노루글	노루	글
노르께하다	노르께	하다
노르끄레하다	노르끄레	하다
노르끄름하다	노르끄름	하다
노르대대하다	노르대대	하다
노르댕댕하다	노르댕댕	하다
노르스름하다	노르스름	하다
노르웨이어	^노르웨이	어
노르웨이인	노르웨이	인
노르족족하다	노르족족	하다
노르칙칙하다	노르칙칙	하다
노르퇴퇴하다	노르퇴퇴	하다
노른어	노른	어
노른자	노른	자
노른자색	노른자	색
노른자위	노른	자위
노름꾼	노름	꾼
노름노름	노름	노름
노름하다	노름	하다
노릇	놀다	ㅅ
노리착지근하다	노리착지근	하다
노리치근하다	노리치근	하다
노릿하다	노릿	하다
노박덩굴	노박	덩굴
노벨상	노벨	상
노뼈	노	뼈
노사미	노	사미
노상강도	노상	강도
노새사슴	노새	사슴
노쇼족	노쇼	족
노쇼하다	노쇼	하다
노스웨스트 준주	northwest	준주
노여움	노엽	음
노이해	no	이해
노인정	노인	정
노인학대	노인	학대
노적가리	노적	가리
노점온도	노점	온도
노점차	노점	차
노점편차	한자 露点偏差. < 노점	편차
노착지근하다	노착지근	하다
노천광	노천	광
녹갈색	녹	갈색
녹나다	녹	나다
녹는고도	녹다 > 녹	는	고도
녹는띠	녹다 > 녹	는	띠
녹는온도	녹다 > 녹	는	온도
녹두나물	녹두	나물
녹록하다	녹록	하다
녹물	녹	물
녹색식물	녹색	식물
녹슬다	녹	슬다
녹신거리다	녹신	거리다
녹신대다	녹신	대다
녹이다	녹다	이
녹조류	녹조	류
녹조식물	녹조	식물
녹진거리다	녹진	거리다
녹진대다	녹진	대다
녹청색	녹	청색
녹황색	녹	황색
논리학	논리	학
논물	논	물
논병아리	논	병아리
논쟁되다	논쟁	되다
논쟁하다	논쟁	하다
논하다	논	하다
놀라움	놀라다 > 놀라우	ㅁ
놀란흙	놀라다 > 놀란	흙
놀러오다	놀	러	오다
놀면하다	놀면	하다
놀소리	놀	소리
놀이	놀	이
놀이감	놀이	ㅅ	감
놀이공원	놀이	공원
놀이기구	놀이	기구
놀이꾼	놀이	꾼
놀이동산	놀이	동산
놀이터	놀이	터
놀이틀	놀이	틀
놋쇠	놋	쇠
농구공	농구	공.
농담하다	농담	하다
농땡이꾼	농땡이	꾼
농사계절	농사	계절
농사꾼	농사	꾼
농업기상예보	농업	기상	예보
농업기상학	농업	기상	학
농업기술	농업	기술
농업기후구분	농업	기후	구분
농후하다	농후	하다
높날림눈	높	날림	눈
높날림먼지	높다 > 높	날리다 > 날리	ㅁ	먼지
높은	높다	은
높은 곳 공포증	높은	곳	공포증
높음	높다	음
높이	높	이
높이다	높다	이
높이뛰기	높이	뛰다
높이뛰기 선수	높이뛰기	선수
높임	높이다 > 높이	ㅁ
높임말	높임	말
높임법	높임	법
높쪽	높	쪽
놓아주다	놓다	주다
놓이다	놓다	이
놓치다	놓	치	다
뇌르끄레하다	뇌르끄레	하다
뇌설	뇌	설
뇌성	뇌	성
뇌염모기	뇌염	모기
뇌우고기압	뇌우	고기압
뇌우권운	뇌우	권운
뇌우난류	뇌우	난류
뇌우무리	뇌우	무리
뇌우세포	뇌우	세포
뇌우스콜	뇌우	스콜
뇌우일	뇌우	일
뇌우저기압	뇌우	저기압
뇌우전하분리	뇌우	전하	분리
뇌우코	뇌우	코
뇌운강수	뇌운	강수
뇌종양	뇌	종양
뇌중풍	뇌	중풍
누구누구	누구	누구
누그러뜨리다	누그러	뜨리다
누그러지다	누그러	지다
누그러트리다	누그러	트리다
누난	누나	ㄴ
누년통계	누년	통계
누님	누이	님
누덕누덕	누덕	누덕
누런	누렇다	ㄴ
누럼	누렇다	ㅁ
누르개악기	누르개	악기
누르께하다	누르께	하다
누르끄레하다	누르끄레	하다
누르데데하다	누르데데	하다
누르뎅뎅하다	누르뎅뎅	하다
누르무레하다	누르무레	하다
누르스레하다	누르스레	하다
누르죽죽하다	누르죽죽	하다
누르칙칙하다	누르칙칙	하다
누르퉁퉁하다	누르퉁퉁	하다
누르튀튀하다	누르튀튀	하다
누른쇠	누르다	쇠
누름적	누르다	적
누름힘	누름	힘.
누릇하다	누릇	하다
누리개	누리	개
누리그물	누리	그물
누리꾼	누리	꾼
누리달	누리	달
누리집	누리	집
누리치근하다	누리치근	하다
누린내	누리다	내
누린내풀	누린내	풀
누릿하다	누릿	하다
누운헤염	눕다 > 누운	헤염
누적강수량	누적	강수량
누적온도	누적	온도
누척지근하다	누척지근	하다
눅은	눅다	은
눅음	눅다	음
눅진거리다	눅진	거리다
눅진대다	눅진	대다
눈갱	눈	gang
눈곱	눈	곱
눈구멍	눈	구멍
눈길	눈	길
눈깔	눈	ㄲ	알
눈꺼풀	눈	꺼풀
눈꼬리	눈	꼬리
눈꽃	눈	꽃
눈꿩	눈	꿩
눈다랑어	눈	다랑어
눈동자	눈	동자
눈동자개	눈	동자개
눈뜨다	눈	뜨다
눈망울	눈	망울
눈물	눈	ㅅ	물 < 중세 한국어 누ᇈ믈 / 누ᇇ믈
눈물뼈	눈물	뼈
눈물짓다	눈물	짓다
눈밀도	눈	밀도
눈보라	눈	*보라
눈부시다	눈	부시다
눈불개	눈	불
눈빛	눈	빛
눈사람	눈	사람
눈사태	눈	사태
눈사태바람	눈	사태	바람
눈살	눈	ㅅ	살
눈섭	눈	섭.
눈소나기	눈	소나기
눈송이	눈	송이
눈싸라기	눈	싸라기
눈싸움	눈	싸움
눈썹	눈	ㅅ	섭
눈썹먹	눈썹	먹
눈안개	눈	안개
눈알	눈	알
눈앞	눈	앞
눈얼음	눈	얼음
눈엣가시	눈	에	ㅅ	가시
눈웃음	눈	웃음
눈의 착각	눈	의	착각
눈점	눈	점
눈치	눈	치
눈치보다	눈치	보다
눈치채다	눈치	채다
뉘	누	이
뉘르끄레하다	뉘르끄레	하다
뉘엿거리다	뉘엿	거리다
뉘엿대다	뉘엿	대다
뉘우침	뉘우치다 > 뉘우치	ㅁ
뉘척지근하다	뉘척지근	하다
뉴브런즈윅 주	뉴브런즈윅	주
뉴웁말	뉴웁	말
뉴펀들랜드 래브라도	^뉴펀들랜드	^래브라도
뉴펀들랜드섬	^뉴펀들랜드	섬
느근거리다	느근	거리다
느근대다	느근	대다
느글거리다	느글	거리다
느글대다	느글	대다
느긋거리다	느긋	거리다
느긋대다	느긋	대다
느긋하다	느긋	하다
느끼하다	느끼	하다
느낌씨	느낌	씨
느낌표	느낌	표
느닷없는	느닷없다	는
느닷없다	느닷	없다
느릅나무	느릅	나무
느린	느리다	ㄴ
느림	느리다	ㅁ
느릿느릿	느릿	느릿
느릿느릿하다	느릿느릿	하다
느릿하다	느릿	하다
느물거리다	느물	거리다
느물대다	느물	대다
느슨하다	느슨	하다
느실거리다	느실	거리다
느실대다	느실	대다
느티나무	느티	나무
늑대거북	늑대	거북
늑대별	늑대	별
늑대인간	늑대	인간
는적거리다	는적	거리다
는적대다	는적	대다
는질거리다	는질	거리다
는질대다	는질	대다
늘같기식	늘	같기	식
늘름거리다	늘름	거리다
늘름대다	늘름	대다
늘리다	늘다의 어간 '늘-'	접사 '-리-'	'-다'
늘비하다	늘비	하다
늘상	늘	상
늘썽늘썽	늘썽	늘썽
늘씬하다	늘씬	하다
늘어나다	늘어	나다
늘어놓다	늘다	어	놓다
늘어지다	늘어	지다
늘쩡거리다	늘쩡	거리다
늘쩡대다	늘쩡	대다
늘쩡이다	늘쩡	이다
늘컹거리다	늘컹	거리다
늘컹대다	늘컹	대다
늘컹하다	늘컹	하다
늘큰거리다	늘큰	거리다
늘큰늘큰하다	늘큰늘큰	하다
늘큰대다	늘큰	대다
늘푸르다	늘	푸르다
늙다리	늙	다리
늠실거리다	늠실	거리다
늠실대다	늠실	대다
능구렁이	능	구렁이
능글거리다	능글	거리다
능글대다	능글	대다
능글차다	능글	차다
능금나무	능금	나무
능준하다	능준	하다
능지처참	능지	처참
능청거리다	능청	거리다
능청대다	능청	대다
능히	능	히
늦가을	늦	가을
늦겨울	늦	겨울
늦더위	늦	더위
늦봄	늦	봄
늦서리	늦	서리
늦여름	늦	여름
늦은	늦다	은
늦음	늦다	음
늪살무사	늪	살무사
니글거리다	니글	거리다
니글대다	니글	대다
니은지읒	니은	지읒
니은히읗	니은	히읗
님나무	नीम	나무
다각적	다각	적
다각형	다각	형
다감하다	다감	하다.
다급하다	다급	하다
다난하다	다난	하다
다날	달	날
다님표	다님	표
다다귀다다귀하다	다다귀다다귀	하다
다다닥거리다	다다닥	거리다
다다닥대다	다다닥	대다
다단조	다	단조
다달	다	달
다달거리다	다달	거리다
다달대다	다달	대다
다도해	다도	해
다독거리다	다독	거리다
다독대다	다독	대다
다독이다	다독	이다
다둥이	다	둥이
다듬거리다	다듬	거리다
다듬대다	다듬	대다
다듬작거리다	다듬작	거리다
다듬작다듬작하다	다듬작다듬작	하다
다듬작대다	다듬작	대다
다락같다	다락	같다
다락방	다락	방
다람쥐	근대 한국어 다람	쥐
다랑어	다랑	어
다래나무	다래	나무
다래다래	다래	다래
다르랑거리다	다르랑	거리다
다르랑대다	다르랑	대다
다르륵거리다	다르륵	거리다
다르륵대다	다르륵	대다
다른 그림 찾기	다른	그림	찾기
다름	다르다	ㅁ
다름이 아니라	다름	이	아니	라
다름이름	다르다	이름
다리넘겨뛰기	다리	넘겨 < 넘기다	뛰기
다리넘겨짚기속임	다리	넘겨	짚기	속임
다리놓기	다리	놓	기
다리미	다림	이
다리뼈	다리	뼈
다리어	Dari	어
다리헤기	다리	헤기
다리헤염	다리	헤염
다리흔들기속임	다리	흔들기	속임
다목적	다	목적
다문다문하다	다문다문	하다
다민족국가	다민족	국가
다박거리다	다박	거리다
다박대다	다박	대다
다방면	다	방면
다복솔	다복	솔
다분하다	다분	하다
다빡거리다	다빡	거리다
다빡대다	다빡	대다
다사하다	다사	하다
다섯시	다섯	시
다섯째	다섯	째
다소니	다솜	이
다신론	다신	론
다양하다	다양	하다
다우기	다	우기
다우기후	다우	기후
다움실하다	다움실	하다
다원론	다원	론
다원론적	다원론	적
다원적	다원	적
다윈주의	다윈	주의
다음날	다음	날
다음번	다음	한자 番.
다의어	다의	어
다장조	다	장조
다정스럽다	다정	스럽다
다정스레	한자 多情.	스레
다정하다	다정	하다
다정히	다정	히
다중뇌격	다중	뇌	격
다짐하다	다짐	하다
다짜고짜로	다짜고짜	로
다채로워지다	한자 多彩.	로워지다
다채롭다	다채	롭다
다층모델	다층	모델
다치다	닿다	티
다툼	다투	ㅁ
다팔거리다	다팔	거리다
다팔다팔	다팔	다팔
다팔대다	다팔	대다
다항식	다항	식
다행스럽다	다행	스럽다
다행히	다행	히
다홍치마	다	홍	치마
닥다글거리다	닥다글	거리다
닥다글대다	닥다글	대다
단결하다	단결	하다
단계적	단계	적
단고기장	단고기	장
단고기탕	단고기	탕
단골손님	단골	손님
단골집	단골	집
단군기원	단군	기원
단군조선	단군	조선
단기예보	단기	예보
단기적	단기	적
단념하다	단념	하다
단독범	단독	범
단말마	한자 斷末魔. < 斷	산스크리트어 मर्मन् 치명적인 급소
단맛	단	맛
단면도	단면	도
단명하다	단명	하다
단모음	단	모음
단물	달다 > 단	물
단물얼음	단물	얼음
단미	달다	이
단번에	단번	에
단봉낙타	단봉	낙타
단서철권	단서	철권
단성결실	단성	결실
단순청상아리	단순	청상아리
단순히	단순	히
단숨에	단	숨	에
단식하다	단식	하다
단아하다	단아	하다
단언적	단언	적
단언하다	단언	하다
단얼음	달다 > 단	얼음
단열가열	단열	가열
단열감률	단열	감률
단열곡선	단열	곡선
단열과정	단열	과정
단열변화	단열	변화
단열선	단열	선
단열선도	단열	)	도
단열압축	단열	압축
단열응결	단열	응결
단열적	단열	적 한자 的.
단열조건	단열	조건
단열팽창	단열	팽창
단열평형	단열	평형
단위원	단위	원
단음계	한자 短音階. < 단	음계
단일어	단일	어
단절하다	단절	하다
단정하다	단정	하다
단종수술	단종	수술
단추구멍	단추	구멍
단축키	단축	키
단파골	단파	골
단파복사	단파	복사
단편 소설	단편	소설
단풍나무	단풍	나무
단풍잎돼지풀	단풍잎	돼지풀
단풍전선	단풍	전선
닫힌순환	닫히다 > 닫히	ㄴ	순환
달가닥거리다	달가닥	거리다
달가닥대다	달가닥	대다
달가당거리다	달가당	거리다
달가당대다	달가당	대다
달가림	달	가림
달각거리다	달각	거리다
달각대다	달각	대다
달강거리다	달강	거리다
달강달강	달강	달강
달강대다	달강	대다
달강이다	달강	이다
달강하다	달강	하다
달걀	닭	의	알
달걀 껍질	달걀	껍질
달걀말이	달걀	말다 > 말이
달걀물	달걀	물
달걀찜	달걀	찜
달곰하다	달곰	하다
달구지풀	달구지	풀
달그락거리다	달그락	거리다
달그락대다	달그락	대다
달그랑거리다	달그랑	거리다
달그랑대다	달그랑	대다
달금하다	달금	하다
달까닥거리다	달까닥	거리다
달까닥달까닥	달까닥	달까닥
달까닥대다	달까닥	대다
달까당거리다	달까당	거리다
달까당대다	달까당	대다
달깍거리다	달깍	거리다
달깍달깍	달깍	달깍
달깍달깍하다	달깍달깍	하다
달깍대다	달깍	대다
달깍이다	달깍	이다
달깡거리다	달깡	거리다
달깡달깡	달깡	달깡
달깡달깡하다	달깡달깡	하다
달깡대다	달깡	대다
달깡이다	달깡	이다
달님	달	님
달달거리다	달달	거리다
달달대다	달달	대다
달달하다	달달	하다
달돋이	달	돋	이
달라당거리다	달라당	거리다
달라당대다	달라당	대다
달라지다	달라	지
달랑거리다	달랑	거리다
달랑달랑	달랑	달랑
달랑대다	달랑	대다
달력	달	력
달리	다르—	이
달리기	달리	기
달린옷	달리다	옷
달마수리	달마	수리
달막거리다	달막	거리다
달막대다	달막	대다
달막이다	달막	이다
달망거리다	달망	거리다
달망대다	달망	대다
달망이다	달망	이다
달무리	달	무리
달밤	달	ㅅ	밤
달별	달	별
달빛	달	빛
달뿌리풀	달	뿌리	풀
달싹거리다	달싹	거리다
달싹대다	달싹	대다
달싹이다	달싹	이다
달아나다	달아	나가다
달아오르다	달아	오르다)
달음	달	음
달차근하다	달차근	하다
달카닥거리다	달카닥	거리다
달카닥대다	달카닥	대다
달카당거리다	달카당	거리다
달카당대다	달카당	대다
달칵거리다	달칵	거리다
달칵달칵하다	달칵달칵	하다
달칵대다	달칵	대다
달칵이다	달칵	이다
달칵하다	달칵	하다
달캉거리다	달캉	거리다
달캉달캉	달캉	달캉
달캉대다	달캉	대다
달캉이다	달캉	이다
달콤새큼	달콤	새큼
달콤하다	달콤	하다
달콤히	달콤	히
달크무레하다	달크무레	하다
달큼하다	달큼	하다
닭갈비	닭	갈비
닭강정	닭	강정
닭개장	닭	개장
닭고기	닭	고기
닭구이	닭	구이
닭꼬치	닭	꼬치
닭다리	닭	다리
닭도리탕	닭	도리	탕
닭똥	닭	똥
닭발	닭	발
닭볶음탕	닭	볶음	탕
닭살	닭	살
닭새우	닭	새우
닭싸움	닭	싸움
닭쌈	닭	쌈
닭알	닭	알
닭알두부	닭알	두부
닭장	닭	장
닭잦추다	닭	잦추다
닮	달다	ㅁ
닮은꼴	닮은	꼴
닮은비	닮다 > 닮은	비
닮음	닮	음
닮음도형	닮음	도형
닮음비	닮음	비
담날	담	날
담녹색	담	녹색
담방거리다	담방	거리다
담방대다	담방	대다
담배갑	담배	갑
담배풀	담배	풀
담뱃갑	담배	ㅅ	갑
담뱃대	담배	ㅅ	대
담뱃재떨이	담배	ㅅ	재떨이
담보하다	담보	하다
담소하다	담소	하다
담수어	담수	어
담쌓다	담	쌓다
담요	담	요
담자색	담	자색
담장	담	장
담쟁이덩굴	담쟁이	덩굴
담청색	담	청색
담홍색	담	홍색
담황색	담	황색
답글	답	글
답사하다	답사	하다
답삭거리다	답삭	거리다
답삭대다	답삭	대다
답하다	답	하다
당고모	당	고모
당구공	당구	공.
당구채	당구	채
당근케이크	당근	케이크
당김줄	당김	줄
당나귀	^당	나귀
