ABC순	ABC	순
가난이 들다	가난	이	들다
가난하다	가난	하다
가난히	가난	히
가내공업	가내	공업
가냘픈	가냘프다	ㄴ
가냘픔	가냘프다	ㅁ
가년스럽다	가년	스럽다
가념하다	가념	하다
가느다랗다	가느	다랗다
가느스름하다	가느스름	하다
가는	가늘다	ㄴ
가는귀	가는	귀
가는귀먹다	가는귀	먹다
가는대	아기	살
가는밸	가늘다	밸
가늘어지다	가늘어	지다
가늚	가늘다	ㅁ
가늠운동	가늠	운동
가늠하다	가늠	하다
가능성	가능	성
가능액	가능	액
가능하다	가능	하다
가닐가닐	가닐	가닐
가닐가닐하다	가닐가닐	하다
가닐거리다	가닐	거리다
가닐대다	가닐	대다
가다가	가—	다가
가다랑어포	가다랑어	포
가닥가닥	가닥	가닥
가닥가닥하다	가닥가닥	하다
가단조	가	단조
가담자	가담	자
가담하다	가담	하다
가당찮다	가당	> 찮다
가당하다	가당	하다
가대기꾼	가대기	꾼
가동가동하다	가동가동	하다
가동거리다	가동	거리다
가동교	가동	교
가동대다	가동	대다
가동되다	가동	되다
가동률	가동	률
가동시키다	가동	시키다
가동질	가동	질
가동하다	가동	하다
가두리	가 두르—	이
가둥가둥	가둥	가둥
가둥가둥하다	가둥가둥	하다
가둥거리다	가둥	거리다
가둥대다	가둥	대다
가드락가드락	가드락	가드락
가드락거리다	가드락	거리다
가드락대다	가드락	대다
가득가득	가득	가득
가득가득하다	가득가득	하다
가득하다	가득	하다
가득히	가득	히
가든가든	가든	가든
가든가든하다	가든가든	하다
가든가든히	가든가든	히
가든그뜨리다	가든그	뜨리다
가든그리다	가든	그리다
가든그트리다	가든그	트리다
가든하다	가든	하다
가든히	가든	히
가들가들	가들	가들
가들가들하다	가들가들	하다
가들거리다	가들	거리다
가들대다	가들	대다
가들막가들막	가들막	가들막
가들막거리다	가들막	거리다
가들막대다	가들막	대다
가들막이다	가들막	이다
가등기	가	등기
가뜩이나	가뜩	이나
가뜩하다	가뜩	하다
가뜬하다	가뜬	하다
가라국	한자 加羅國. < 가라	국
가라앉힘약	가라앉힘	약
가락점	가락	점
가락지	가락	지
가락지빵	가락지	빵
가락풀	가락	풀
가란하다	가란	하다
가랄하다	가랄	하다.
가랄히	가랄	히.
가랑가랑	가랑	가랑
가랑거리다	가랑	거리다
가랑눈	가랑	눈
가랑대다	가랑	대다
가랑무	가랑	무
가랑비	가랑	비
가랑잎	가랑	잎
가래나무	가래	나무
가래떡	가래	떡
가래침	가래	침
가량가량하다	가량가량	하다
가량국	한자 加良國. < 가량	국
가량맞다	가량	맞다
가량하다	가량	하다
가려움증	가려움	증
가려하다	가려	하다
가련하다	가련	하다
가련히	가련	히
가로거치다	가로	거치다
가로글씨	가로	글씨
