term	realization	matches	good	total	precision	kept	example_failure	example_failure_bound_words
вы принимаете какие-нибудь лекарства	filled	28	2	12	0.17	no	Во сколько вы принимаете утром ванну?	вы … принимаете … ванну
вы принимаете какие-нибудь медикаменты	filled	28	2	12	0.17	no	Во сколько вы принимаете утром ванну?	вы … принимаете … ванну
расскажи это кому-нибудь другому	clitic	16	12	12	1.00	yes		
расскажи это кому-нибудь другому	filled	1	1	1	1.00	yes		
у вас есть аллергия на какие-нибудь лекарства	filled	1	1	1	1.00	yes		
